level,power,date
31,706.9,2023-08-04
31,679.8,2023-08-04
30,678.9,2023-08-04
31,677.2,2023-08-04
30,669.6,2023-08-04
30,657.7,2023-08-04
30,625.2,2023-08-04
30,602.9,2023-08-04
30,594.6,2023-08-04
30,586.6,2023-08-04
30,561.8,2023-08-04
30,544.5,2023-08-04
30,537.7,2023-08-04
30,537.5,2023-08-04
30,526.6,2023-08-04
30,514.7,2023-08-04
29,508.2,2023-08-04
30,507.7,2023-08-04
30,507.3,2023-08-04
30,504.4,2023-08-04
30,504.2,2023-08-04
30,495.5,2023-08-04
30,495.1,2023-08-04
30,490.1,2023-08-04
30,487.6,2023-08-04
30,479.5,2023-08-04
30,478.2,2023-08-04
30,469.0,2023-08-04
30,465.9,2023-08-04
30,456.2,2023-08-04
30,450.6,2023-08-04
29,448.9,2023-08-04
30,447.3,2023-08-04
30,445.2,2023-08-04
30,442.6,2023-08-04
30,439.8,2023-08-04
30,435.6,2023-08-04
30,427.9,2023-08-04
30,426.6,2023-08-04
28,422.4,2023-08-04
30,419.0,2023-08-04
30,414.1,2023-08-04
30,412.8,2023-08-04
30,401.7,2023-08-04
30,394.3,2023-08-04
29,392.3,2023-08-04
29,377.0,2023-08-04
30,375.8,2023-08-04
29,373.7,2023-08-04
28,371.8,2023-08-04
29,370.9,2023-08-04
28,363.0,2023-08-04
28,356.9,2023-08-04
29,346.3,2023-08-04
29,340.6,2023-08-04
30,338.2,2023-08-04
29,338.1,2023-08-04
25,324.6,2023-08-04
29,287.4,2023-08-04
29,272.8,2023-08-04
27,267.9,2023-08-04
29,267.2,2023-08-04
27,250.5,2023-08-04
24,244.4,2023-08-04
26,166.3,2023-08-04
