level,power,date
30,614.0,2023-06-23
30,604.7,2023-06-23
30,527.0,2023-06-23
29,474.0,2023-06-23
30,462.0,2023-06-23
30,461.0,2023-06-23
28,452.6,2023-06-23
30,447.8,2023-06-23
29,444.3,2023-06-23
29,434.4,2023-06-23
29,424.4,2023-06-23
29,420.3,2023-06-23
29,415.5,2023-06-23
29,413.3,2023-06-23
30,410.2,2023-06-23
29,408.4,2023-06-23
30,406.3,2023-06-23
29,405.1,2023-06-23
29,396.8,2023-06-23
30,394.1,2023-06-23
30,392.8,2023-06-23
26,387.0,2023-06-23
29,385.2,2023-06-23
29,384.7,2023-06-23
30,381.5,2023-06-23
29,379.6,2023-06-23
28,373.6,2023-06-23
29,369.3,2023-06-23
28,360.0,2023-06-23
29,356.8,2023-06-23
28,354.0,2023-06-23
30,350.4,2023-06-23
28,342.7,2023-06-23
28,340.5,2023-06-23
26,340.0,2023-06-23
27,334.4,2023-06-23
27,334.2,2023-06-23
27,331.4,2023-06-23
28,328.7,2023-06-23
25,312.8,2023-06-23
29,311.2,2023-06-23
29,310.0,2023-06-23
24,303.5,2023-06-23
29,294.7,2023-06-23
25,294.4,2023-06-23
26,291.4,2023-06-23
27,283.7,2023-06-23
25,278.7,2023-06-23
24,272.6,2023-06-23
28,270.4,2023-06-23
25,258.1,2023-06-23
28,256.2,2023-06-23
29,235.7,2023-06-23
26,220.9,2023-06-23
25,214.5,2023-06-23
27,155.9,2023-06-23
24,148.2,2023-06-23
11,13.9,2023-06-23
