level,power,date
26,235.8,2023-06-16
23,146.7,2023-06-16
22,109.1,2023-06-16
22,107.5,2023-06-16
21,103.9,2023-06-16
21,101.8,2023-06-16
21,98.4,2023-06-16
21,93.9,2023-06-16
21,92.8,2023-06-16
21,90.6,2023-06-16
20,87.9,2023-06-16
20,87.9,2023-06-16
19,87.0,2023-06-16
19,85.3,2023-06-16
20,85.0,2023-06-16
21,83.0,2023-06-16
20,80.8,2023-06-16
19,77.5,2023-06-16
19,74.2,2023-06-16
21,73.3,2023-06-16
18,70.2,2023-06-16
18,69.5,2023-06-16
19,68.3,2023-06-16
20,68.1,2023-06-16
19,61.5,2023-06-16
18,59.4,2023-06-16
17,59.1,2023-06-16
18,57.0,2023-06-16
20,55.8,2023-06-16
20,48.2,2023-06-16
18,41.2,2023-06-16
