level,power,date
30,576.0,2023-07-05
30,535.3,2023-07-05
30,526.2,2023-07-05
30,487.3,2023-07-05
30,481.8,2023-07-05
30,479.7,2023-07-05
30,474.6,2023-07-05
30,464.3,2023-07-05
30,460.2,2023-07-05
30,459.6,2023-07-05
28,456.3,2023-07-05
30,444.9,2023-07-05
28,436.4,2023-07-05
29,430.3,2023-07-05
30,426.0,2023-07-05
29,422.6,2023-07-05
29,421.3,2023-07-05
27,417.2,2023-07-05
28,410.4,2023-07-05
29,409.5,2023-07-05
29,407.1,2023-07-05
27,401.3,2023-07-05
29,400.4,2023-07-05
30,399.0,2023-07-05
30,397.7,2023-07-05
30,394.0,2023-07-05
28,392.1,2023-07-05
29,375.7,2023-07-05
29,372.4,2023-07-05
29,371.0,2023-07-05
27,365.8,2023-07-05
27,363.1,2023-07-05
28,363.0,2023-07-05
28,362.0,2023-07-05
29,361.4,2023-07-05
29,358.9,2023-07-05
30,354.0,2023-07-05
29,344.7,2023-07-05
26,342.4,2023-07-05
30,341.3,2023-07-05
27,335.8,2023-07-05
29,325.8,2023-07-05
28,322.6,2023-07-05
26,320.9,2023-07-05
29,320.8,2023-07-05
29,312.8,2023-07-05
29,308.1,2023-07-05
25,306.5,2023-07-05
23,296.6,2023-07-05
29,287.2,2023-07-05
29,285.9,2023-07-05
26,284.2,2023-07-05
26,272.8,2023-07-05
24,247.7,2023-07-05
27,247.4,2023-07-05
29,245.4,2023-07-05
27,238.4,2023-07-05
26,222.3,2023-07-05
28,202.8,2023-07-05
25,170.6,2023-07-05
21,153.8,2023-07-05
22,80.7,2023-07-05
19,54.8,2023-07-05
16,40.3,2023-07-05
