level,power,date
25.0,213.0,2023-06-10
25.0,208.8,2023-06-10
26.0,188.7,2023-06-10
26.0,185.0,2023-06-10
25.0,148.7,2023-06-10
22.0,145.6,2023-06-10
24.0,142.6,2023-06-10
23.0,140.5,2023-06-10
23.0,122.5,2023-06-10
22.0,104.6,2023-06-10
22.0,96.9,2023-06-10
22.0,91.9,2023-06-10
18.0,66.2,2023-06-10
15.0,65.5,2023-06-10
20.0,57.6,2023-06-10
20.0,56.9,2023-06-10
20.0,49.9,2023-06-10
20.0,44.6,2023-06-10
18.0,43.6,2023-06-10
15.0,42.1,2023-06-10
18.0,39.7,2023-06-10
15.0,31.9,2023-06-10
13.0,31.4,2023-06-10
14.0,30.7,2023-06-10
14.0,26.7,2023-06-10
13.0,26.7,2023-06-10
13.0,23.4,2023-06-10
14.0,22.9,2023-06-10
12.0,22.7,2023-06-10
11.0,18.6,2023-06-10
12.0,18.6,2023-06-10
12.0,13.6,2023-06-10
8.0,6.7,2023-06-10
