level,power,date
27,475.1,2023-08-10
27,415.2,2023-08-10
29,402.1,2023-08-10
29,388.2,2023-08-10
27,386.4,2023-08-10
29,368.1,2023-08-10
25,355.2,2023-08-10
29,351.3,2023-08-10
25,320.8,2023-08-10
27,318.7,2023-08-10
28,308.2,2023-08-10
28,306.7,2023-08-10
26,299.6,2023-08-10
29,282.4,2023-08-10
27,281.1,2023-08-10
24,280.3,2023-08-10
23,279.1,2023-08-10
28,274.5,2023-08-10
25,267.2,2023-08-10
27,255.3,2023-08-10
24,249.5,2023-08-10
27,240.8,2023-08-10
24,237.6,2023-08-10
24,233.9,2023-08-10
23,230.3,2023-08-10
23,224.6,2023-08-10
25,217.0,2023-08-10
25,195.2,2023-08-10
23,194.0,2023-08-10
22,178.2,2023-08-10
25,175.9,2023-08-10
26,170.2,2023-08-10
25,142.5,2023-08-10
21,138.4,2023-08-10
23,135.6,2023-08-10
21,87.3,2023-08-10
20,82.0,2023-08-10
18,74.2,2023-08-10
18,53.9,2023-08-10
11,46.9,2023-08-10
16,44.4,2023-08-10
16,25.3,2023-08-10
10,15.9,2023-08-10
7,6.6,2023-08-10
