level,power,date
31,736.0,2023-08-10
30,677.6,2023-08-10
30,665.4,2023-08-10
30,657.3,2023-08-10
30,650.3,2023-08-10
30,633.7,2023-08-10
30,630.9,2023-08-10
31,627.8,2023-08-10
31,607.0,2023-08-10
30,604.8,2023-08-10
30,598.5,2023-08-10
31,589.8,2023-08-10
30,581.9,2023-08-10
30,578.9,2023-08-10
30,564.3,2023-08-10
30,551.8,2023-08-10
30,547.5,2023-08-10
30,533.9,2023-08-10
30,520.2,2023-08-10
27,492.9,2023-08-10
30,487.1,2023-08-10
30,483.9,2023-08-10
27,476.8,2023-08-10
30,467.4,2023-08-10
30,463.0,2023-08-10
30,462.2,2023-08-10
30,461.8,2023-08-10
30,457.5,2023-08-10
30,456.3,2023-08-10
30,454.3,2023-08-10
27,453.6,2023-08-10
30,453.6,2023-08-10
30,451.5,2023-08-10
30,447.4,2023-08-10
30,443.9,2023-08-10
29,442.7,2023-08-10
28,442.1,2023-08-10
30,442.0,2023-08-10
30,431.1,2023-08-10
29,427.0,2023-08-10
29,415.9,2023-08-10
30,415.8,2023-08-10
28,413.7,2023-08-10
28,402.4,2023-08-10
27,400.2,2023-08-10
26,393.7,2023-08-10
26,389.9,2023-08-10
26,382.5,2023-08-10
29,375.5,2023-08-10
30,374.1,2023-08-10
29,370.8,2023-08-10
29,370.0,2023-08-10
28,368.1,2023-08-10
28,363.8,2023-08-10
29,353.2,2023-08-10
29,351.9,2023-08-10
30,350.9,2023-08-10
28,342.5,2023-08-10
29,331.4,2023-08-10
27,327.0,2023-08-10
27,324.7,2023-08-10
25,316.3,2023-08-10
29,305.4,2023-08-10
26,300.0,2023-08-10
27,259.0,2023-08-10
26,214.7,2023-08-10
22,136.3,2023-08-10
22,119.5,2023-08-10
22,81.2,2023-08-10
17,52.3,2023-08-10
