level,power,date
29,437.7,2023-06-03
30,446.2,2023-06-03
26,274.8,2023-06-03
26,301.0,2023-06-03
23,238.9,2023-06-03
19,81.5,2023-06-03
25,262.6,2023-06-03
23,205.8,2023-06-03
22,148.1,2023-06-03
24,199.5,2023-06-03
16,69.9,2023-06-03
24,187.8,2023-06-03
24,218.7,2023-06-03
24,238.1,2023-06-03
18,48.5,2023-06-03
14,41.5,2023-06-03
29,346.2,2023-06-03
17,43.4,2023-06-03
21,98.5,2023-06-03
12,21.1,2023-06-03
22,163.5,2023-06-03
18,57.9,2023-06-03
23,195.6,2023-06-03
6,2.7,2023-06-03
13,33.8,2023-06-03
20,80.6,2023-06-03
