level,power,date
28,404.7,2023-06-10
28,391.1,2023-06-10
28,371.3,2023-06-10
26,359.3,2023-06-10
26,358.8,2023-06-10
26,353.6,2023-06-10
28,338.6,2023-06-10
26,288.4,2023-06-10
26,283.1,2023-06-10
25,274.6,2023-06-10
26,270.1,2023-06-10
24,260.1,2023-06-10
27,238.2,2023-06-10
25,221.3,2023-06-10
23,212.6,2023-06-10
25,194.2,2023-06-10
23,182.7,2023-06-10
23,175.8,2023-06-10
22,169.1,2023-06-10
22,136.5,2023-06-10
23,135.1,2023-06-10
21,118.0,2023-06-10
23,115.8,2023-06-10
21,105.7,2023-06-10
21,91,2023-06-10
20,82.0,2023-06-10
17,47.9,2023-06-10
18,47.9,2023-06-10
15,36.2,2023-06-10
12,32.8,2023-06-10
12,24.5,2023-06-10
14,21.8,2023-06-10
