level,power,date
30,632.6,2023-09-20
30,616.5,2023-09-20
30,594.2,2023-09-20
31,583.9,2023-09-20
30,583.2,2023-09-20
30,580.2,2023-09-20
30,516.0,2023-09-20
30,514.6,2023-09-20
30,497.0,2023-09-20
30,496.6,2023-09-20
30,484.4,2023-09-20
30,483.8,2023-09-20
30,477.9,2023-09-20
30,449.2,2023-09-20
30,449.1,2023-09-20
30,441.8,2023-09-20
27,433.2,2023-09-20
29,426.8,2023-09-20
30,413.7,2023-09-20
30,386.5,2023-09-20
27,378.2,2023-09-20
30,363.2,2023-09-20
27,356.7,2023-09-20
29,341.9,2023-09-20
26,335.1,2023-09-20
25,327.6,2023-09-20
25,322.4,2023-09-20
28,319.0,2023-09-20
29,312.2,2023-09-20
27,309.5,2023-09-20
27,296.5,2023-09-20
28,295.4,2023-09-20
26,280.3,2023-09-20
29,268.4,2023-09-20
29,267.8,2023-09-20
26,261.1,2023-09-20
26,260.2,2023-09-20
25,253.9,2023-09-20
26,236.4,2023-09-20
26,233.8,2023-09-20
26,222.5,2023-09-20
26,209.2,2023-09-20
22,196.2,2023-09-20
25,169.6,2023-09-20
20,167.6,2023-09-20
23,166.0,2023-09-20
25,163.4,2023-09-20
25,162.2,2023-09-20
22,161.3,2023-09-20
24,157.1,2023-09-20
23,131.1,2023-09-20
22,125.9,2023-09-20
24,120.8,2023-09-20
22,119.5,2023-09-20
21,119.3,2023-09-20
20,118.1,2023-09-20
24,117.3,2023-09-20
22,115.7,2023-09-20
21,115.0,2023-09-20
21,79.0,2023-09-20
20,75.4,2023-09-20
16,69.0,2023-09-20
15,46.6,2023-09-20
15,32.5,2023-09-20
