level,power,date
30,457.7,2023-08-10
30,454.2,2023-08-10
30,429.9,2023-08-10
30,402.9,2023-08-10
29,396.5,2023-08-10
28,389.2,2023-08-10
27,378.5,2023-08-10
29,373.7,2023-08-10
29,355.1,2023-08-10
30,351.7,2023-08-10
28,348.3,2023-08-10
28,331.2,2023-08-10
29,325.6,2023-08-10
28,320.7,2023-08-10
28,318.6,2023-08-10
28,308.1,2023-08-10
29,303.3,2023-08-10
29,299.2,2023-08-10
29,298.0,2023-08-10
29,295.9,2023-08-10
24,286.6,2023-08-10
29,285.8,2023-08-10
29,281.1,2023-08-10
27,278.1,2023-08-10
24,272.8,2023-08-10
27,267.8,2023-08-10
24,262.8,2023-08-10
27,260.0,2023-08-10
26,234.2,2023-08-10
25,224.6,2023-08-10
25,200.5,2023-08-10
24,169.6,2023-08-10
24,159.0,2023-08-10
24,139.8,2023-08-10
24,131.9,2023-08-10
19,95.7,2023-08-10
21,87.7,2023-08-10
20,69.5,2023-08-10
