level,power,date
30,676.6,2023-07-05
30,570.6,2023-07-05
30,553.3,2023-07-05
30,537.5,2023-07-05
30,434.6,2023-07-05
30,423.0,2023-07-05
30,416.3,2023-07-05
30,410.7,2023-07-05
30,403.0,2023-07-05
29,397.1,2023-07-05
30,385.5,2023-07-05
29,385.5,2023-07-05
30,382.6,2023-07-05
29,374.0,2023-07-05
29,368.8,2023-07-05
28,365.5,2023-07-05
27,364.8,2023-07-05
28,353.5,2023-07-05
25,335.8,2023-07-05
28,328.5,2023-07-05
25,326.9,2023-07-05
26,325.0,2023-07-05
28,322.3,2023-07-05
26,318.6,2023-07-05
28,318.0,2023-07-05
28,300.6,2023-07-05
28,294.2,2023-07-05
29,287.6,2023-07-05
28,283.6,2023-07-05
25,276.1,2023-07-05
27,268.8,2023-07-05
27,262.0,2023-07-05
29,257.6,2023-07-05
23,255.9,2023-07-05
28,241.7,2023-07-05
25,241.1,2023-07-05
27,236.1,2023-07-05
23,225.7,2023-07-05
26,212.4,2023-07-05
24,209.5,2023-07-05
21,209.1,2023-07-05
25,208.1,2023-07-05
25,200.8,2023-07-05
25,194.7,2023-07-05
25,194.1,2023-07-05
24,188.3,2023-07-05
24,186.7,2023-07-05
24,177.2,2023-07-05
25,172.2,2023-07-05
24,165.5,2023-07-05
24,155.9,2023-07-05
22,148.8,2023-07-05
24,142.2,2023-07-05
23,134.0,2023-07-05
24,132.3,2023-07-05
18,66.9,2023-07-05
