level,power,date
30,660.5,2023-06-23
30,655.8,2023-06-23
30,636.2,2023-06-23
30,562.7,2023-06-23
29,536.4,2023-06-23
30,524.3,2023-06-23
30,520.0,2023-06-23
30,519.9,2023-06-23
30,503.5,2023-06-23
30,500.1,2023-06-23
30,491.2,2023-06-23
30,482.1,2023-06-23
30,459.3,2023-06-23
30,441.1,2023-06-23
28,432.2,2023-06-23
29,427.0,2023-06-23
27,426.3,2023-06-23
29,426.1,2023-06-23
29,420.4,2023-06-23
30,410.8,2023-06-23
29,403.6,2023-06-23
30,402.1,2023-06-23
29,393.0,2023-06-23
30,392.9,2023-06-23
29,391.0,2023-06-23
30,377.2,2023-06-23
29,375.0,2023-06-23
30,369.7,2023-06-23
28,349.4,2023-06-23
28,337.0,2023-06-23
29,330.8,2023-06-23
29,330.1,2023-06-23
26,327.6,2023-06-23
25,324.3,2023-06-23
27,312.8,2023-06-23
27,311.3,2023-06-23
29,303.8,2023-06-23
28,302.8,2023-06-23
28,297.9,2023-06-23
26,291.1,2023-06-23
25,290.6,2023-06-23
27,287.6,2023-06-23
28,282.7,2023-06-23
27,273.9,2023-06-23
26,271.3,2023-06-23
26,270.6,2023-06-23
25,261.9,2023-06-23
29,245.4,2023-06-23
27,240.3,2023-06-23
28,239.6,2023-06-23
27,237.3,2023-06-23
25,235.0,2023-06-23
26,199.1,2023-06-23
25,196.5,2023-06-23
26,193.1,2023-06-23
22,80.4,2023-06-23
17,51.9,2023-06-23
