level,power,date
30,612.7,2023-08-10
30,597.9,2023-08-10
30,562.1,2023-08-10
30,534.7,2023-08-10
31,526.3,2023-08-10
30,502.3,2023-08-10
30,490.3,2023-08-10
29,479.5,2023-08-10
30,470.0,2023-08-10
30,468.6,2023-08-10
30,467.3,2023-08-10
30,464.4,2023-08-10
29,454.1,2023-08-10
30,449.8,2023-08-10
30,443.5,2023-08-10
29,440.0,2023-08-10
28,433.5,2023-08-10
28,430.6,2023-08-10
30,416.2,2023-08-10
29,411.7,2023-08-10
29,401.8,2023-08-10
26,398.6,2023-08-10
26,391.5,2023-08-10
28,390.6,2023-08-10
30,378.9,2023-08-10
29,376.4,2023-08-10
29,371.6,2023-08-10
28,367.6,2023-08-10
29,360.8,2023-08-10
27,359.5,2023-08-10
29,357.2,2023-08-10
27,350.7,2023-08-10
25,346.5,2023-08-10
25,346.0,2023-08-10
29,338.8,2023-08-10
27,330.9,2023-08-10
25,323.8,2023-08-10
29,323.5,2023-08-10
26,320.1,2023-08-10
29,319.9,2023-08-10
28,318.9,2023-08-10
24,313.2,2023-08-10
27,309.9,2023-08-10
26,302.5,2023-08-10
26,299.7,2023-08-10
26,288.5,2023-08-10
26,270.0,2023-08-10
25,269.2,2023-08-10
27,264.4,2023-08-10
27,249.4,2023-08-10
26,244.5,2023-08-10
28,237.6,2023-08-10
24,211.3,2023-08-10
26,205.4,2023-08-10
25,189.0,2023-08-10
25,173.7,2023-08-10
22,150.3,2023-08-10
23,139.2,2023-08-10
