level,power,date
31,604.2,2023-08-10
30,583.5,2023-08-10
30,570.7,2023-08-10
30,565.1,2023-08-10
30,558.9,2023-08-10
30,555.3,2023-08-10
29,542.3,2023-08-10
30,541.2,2023-08-10
30,536.9,2023-08-10
30,523.7,2023-08-10
30,523.3,2023-08-10
30,516.3,2023-08-10
30,505.5,2023-08-10
30,497.0,2023-08-10
30,484.9,2023-08-10
30,480.4,2023-08-10
30,470.6,2023-08-10
30,469.9,2023-08-10
30,465.5,2023-08-10
30,462.6,2023-08-10
27,462.0,2023-08-10
29,454.6,2023-08-10
30,452.2,2023-08-10
30,446.6,2023-08-10
29,425.0,2023-08-10
30,423.8,2023-08-10
26,419.5,2023-08-10
30,415.0,2023-08-10
30,414.6,2023-08-10
30,413.3,2023-08-10
28,408.8,2023-08-10
30,405.9,2023-08-10
29,401.8,2023-08-10
29,398.4,2023-08-10
30,393.8,2023-08-10
28,381.2,2023-08-10
29,381.0,2023-08-10
28,378.8,2023-08-10
26,377.2,2023-08-10
30,376.5,2023-08-10
29,351.8,2023-08-10
29,346.9,2023-08-10
29,342.2,2023-08-10
29,339.2,2023-08-10
27,336.6,2023-08-10
28,331.1,2023-08-10
26,330.1,2023-08-10
27,329.6,2023-08-10
26,321.1,2023-08-10
26,295.5,2023-08-10
28,278.2,2023-08-10
28,277.8,2023-08-10
29,275.2,2023-08-10
28,270.2,2023-08-10
27,265.5,2023-08-10
29,260.7,2023-08-10
23,209.8,2023-08-10
23,208.3,2023-08-10
27,187.1,2023-08-10
26,165.9,2023-08-10
22,157.5,2023-08-10
24,136.3,2023-08-10
24,113.7,2023-08-10
22,109.1,2023-08-10
20,76.6,2023-08-10
19,76.3,2023-08-10
