level,power,date
30,537.8,2023-07-05
30,530.8,2023-07-05
30,504.1,2023-07-05
30,462.1,2023-07-05
30,457.6,2023-07-05
28,446.9,2023-07-05
30,438.4,2023-07-05
30,436.5,2023-07-05
29,426.4,2023-07-05
28,395.0,2023-07-05
29,393.6,2023-07-05
28,392.1,2023-07-05
29,373.6,2023-07-05
29,365.3,2023-07-05
27,364.4,2023-07-05
29,352.7,2023-07-05
29,348.2,2023-07-05
30,339.8,2023-07-05
28,322.8,2023-07-05
27,316.7,2023-07-05
30,315.4,2023-07-05
29,306.1,2023-07-05
27,305.6,2023-07-05
28,293.6,2023-07-05
29,268.5,2023-07-05
27,261.3,2023-07-05
27,253.8,2023-07-05
28,250.7,2023-07-05
24,248.6,2023-07-05
27,238.5,2023-07-05
27,237.9,2023-07-05
27,233.7,2023-07-05
28,231.2,2023-07-05
26,221.7,2023-07-05
27,199.5,2023-07-05
26,194.3,2023-07-05
25,194.1,2023-07-05
26,188.1,2023-07-05
23,169.5,2023-07-05
26,165.1,2023-07-05
25,161.7,2023-07-05
21,156.5,2023-07-05
25,152.6,2023-07-05
22,151.5,2023-07-05
22,149.2,2023-07-05
21,139.2,2023-07-05
24,138.9,2023-07-05
21,129.6,2023-07-05
26,127.4,2023-07-05
23,126.4,2023-07-05
23,107.0,2023-07-05
22,103.6,2023-07-05
20,102.7,2023-07-05
22,96.7,2023-07-05
21,94.7,2023-07-05
21,84.4,2023-07-05
22,79.1,2023-07-05
21,78.9,2023-07-05
19,73.2,2023-07-05
20,72.3,2023-07-05
20,67.6,2023-07-05
19,65.5,2023-07-05
18,56.8,2023-07-05
15,44.4,2023-07-05
11,18.1,2023-07-05
11,17.1,2023-07-05
15,14.2,2023-07-05
