level,power,date
29,414.0,2023-09-20
30,353.5,2023-09-20
28,288.2,2023-09-20
24,249.2,2023-09-20
27,237.8,2023-09-20
24,236.3,2023-09-20
23,235.7,2023-09-20
28,232.1,2023-09-20
26,210.5,2023-09-20
26,208.3,2023-09-20
25,204.8,2023-09-20
25,165.2,2023-09-20
23,145.0,2023-09-20
25,140.7,2023-09-20
23,120.5,2023-09-20
21,120.3,2023-09-20
21,107.5,2023-09-20
22,103.0,2023-09-20
23,83.2,2023-09-20
22,82.0,2023-09-20
21,76.6,2023-09-20
20,71.2,2023-09-20
21,70.8,2023-09-20
20,68.6,2023-09-20
17,34.2,2023-09-20
18,27.9,2023-09-20
12,22.1,2023-09-20
8,13.8,2023-09-20
8,8.2,2023-09-20
