level,power,date
27,315.1,2023-06-10
23,253.3,2023-06-10
25,253.1,2023-06-10
25,231.2,2023-06-10
26,230.1,2023-06-10
26,227.1,2023-06-10
24,216.8,2023-06-10
26,203.7,2023-06-10
22,202.7,2023-06-10
24,192.6,2023-06-10
24,187.8,2023-06-10
26,185.1,2023-06-10
24,183.4,2023-06-10
25,178.6,2023-06-10
24,177.6,2023-06-10
22,164.1,2023-06-10
24,157.9,2023-06-10
24,153.6,2023-06-10
23,144.9,2023-06-10
22,144.1,2023-06-10
23,140.3,2023-06-10
24,138.9,2023-06-10
23,138.3,2023-06-10
23,136.0,2023-06-10
23,132.1,2023-06-10
25,129.8,2023-06-10
22,127.1,2023-06-10
21,123.6,2023-06-10
24,120.2,2023-06-10
23,97.7,2023-06-10
18,88.4,2023-06-10
20,85.1,2023-06-10
20,67.9,2023-06-10
20,65.4,2023-06-10
15,39.5,2023-06-10
17,39.2,2023-06-10
12,26.3,2023-06-10
