level,power,date
26,395.4,2023-06-16
27,338.7,2023-06-16
26,334.0,2023-06-16
26,325.4,2023-06-16
28,296.3,2023-06-16
25,274.2,2023-06-16
26,266.1,2023-06-16
25,265.8,2023-06-16
24,262.5,2023-06-16
24,236.2,2023-06-16
25,231.8,2023-06-16
27,218.9,2023-06-16
25,209.0,2023-06-16
26,203.6,2023-06-16
25,202.9,2023-06-16
23,197.8,2023-06-16
25,188.3,2023-06-16
24,156.4,2023-06-16
24,155.7,2023-06-16
22,147.8,2023-06-16
20,119.2,2023-06-16
21,119.0,2023-06-16
18,114.2,2023-06-16
21,114.0,2023-06-16
21,112.3,2023-06-16
21,100.0,2023-06-16
21,73.4,2023-06-16
18,67.7,2023-06-16
17,52.9,2023-06-16
