level,power,date
30,615.4,2023-07-05
30,576.5,2023-07-05
30,567.0,2023-07-05
29,548.9,2023-07-05
30,534.1,2023-07-05
30,532.1,2023-07-05
30,520.3,2023-07-05
30,501.8,2023-07-05
30,486.8,2023-07-05
30,483.4,2023-07-05
30,480.0,2023-07-05
30,474.1,2023-07-05
30,473.0,2023-07-05
30,469.4,2023-07-05
29,466.9,2023-07-05
30,465.4,2023-07-05
28,462.4,2023-07-05
30,452.5,2023-07-05
30,449.5,2023-07-05
28,448.7,2023-07-05
30,447.8,2023-07-05
28,445.4,2023-07-05
29,439.6,2023-07-05
30,436.9,2023-07-05
30,434.3,2023-07-05
30,430.2,2023-07-05
30,428.8,2023-07-05
30,427.3,2023-07-05
30,421.1,2023-07-05
30,420.8,2023-07-05
26,418.0,2023-07-05
29,409.9,2023-07-05
29,406.1,2023-07-05
29,405.1,2023-07-05
30,402.8,2023-07-05
30,401.1,2023-07-05
30,400.6,2023-07-05
29,397.5,2023-07-05
30,395.2,2023-07-05
30,394.2,2023-07-05
30,389.8,2023-07-05
30,383.4,2023-07-05
26,381.0,2023-07-05
27,377.6,2023-07-05
29,377.1,2023-07-05
28,367.7,2023-07-05
29,351.4,2023-07-05
29,348.1,2023-07-05
25,347.4,2023-07-05
29,346.0,2023-07-05
26,344.8,2023-07-05
27,341.5,2023-07-05
29,332.6,2023-07-05
28,326.4,2023-07-05
28,319.4,2023-07-05
29,312.8,2023-07-05
27,311.6,2023-07-05
27,309.5,2023-07-05
26,306.5,2023-07-05
27,305.9,2023-07-05
27,302.1,2023-07-05
28,300.0,2023-07-05
26,284.9,2023-07-05
26,271.4,2023-07-05
28,267.5,2023-07-05
26,235.9,2023-07-05
27,211.5,2023-07-05
24,178.0,2023-07-05
