level,power,date
27,336.0,2023-06-10
27,332.0,2023-06-10
27,317.7,2023-06-10
27,313.9,2023-06-10
27,306.5,2023-06-10
27,290.3,2023-06-10
25,288.9,2023-06-10
28,282.7,2023-06-10
25,277.9,2023-06-10
27,274.5,2023-06-10
28,264.0,2023-06-10
27,263.0,2023-06-10
26,260.9,2023-06-10
26,254.7,2023-06-10
25,246.3,2023-06-10
26,234.2,2023-06-10
22,222.9,2023-06-10
22,222.5,2023-06-10
26,219.9,2023-06-10
23,215.1,2023-06-10
26,190.6,2023-06-10
25,188.1,2023-06-10
25,163.3,2023-06-10
22,151.5,2023-06-10
22,150.5,2023-06-10
22,149.4,2023-06-10
22,143.5,2023-06-10
22,120.7,2023-06-10
21,115.7,2023-06-10
20,113.0,2023-06-10
23,105.5,2023-06-10
23,104.6,2023-06-10
19,82.9,2023-06-10
18,62.0,2023-06-10
18,50.3,2023-06-10
18,46.4,2023-06-10
17,20.0,2023-06-10
