level,power,date
30,738.4,2023-06-16
30,735.3,2023-06-16
30,573.1,2023-06-16
30,499.9,2023-06-16
30,494.8,2023-06-16
30,486.4,2023-06-16
30,467.9,2023-06-16
29,463.0,2023-06-16
30,450.2,2023-06-16
30,450.2,2023-06-16
30,441.5,2023-06-16
30,434.8,2023-06-16
30,432.1,2023-06-16
30,424.2,2023-06-16
29,400.2,2023-06-16
29,398.7,2023-06-16
27,393.7,2023-06-16
29,378.4,2023-06-16
29,375.9,2023-06-16
29,370.0,2023-06-16
29,361.8,2023-06-16
29,358.9,2023-06-16
29,357.2,2023-06-16
30,355.3,2023-06-16
28,353.9,2023-06-16
26,349.2,2023-06-16
29,341.4,2023-06-16
29,332.4,2023-06-16
26,325.5,2023-06-16
29,302.2,2023-06-16
27,284.7,2023-06-16
27,280.2,2023-06-16
28,260.2,2023-06-16
25,257.6,2023-06-16
24,237.3,2023-06-16
27,232.2,2023-06-16
26,204.7,2023-06-16
25,188.1,2023-06-16
22,181.6,2023-06-16
25,179.5,2023-06-16
23,127.1,2023-06-16
22,90.6,2023-06-16
22,86.9,2023-06-16
18,79.0,2023-06-16
19,75.9,2023-06-16
19,69.2,2023-06-16
