,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,30,523.2,2023-05-27
1,1,1,1,1,1,1,1,1,1,1,30,908.2,2023-05-27
2,2,2,2,2,2,2,2,2,2,2,30,423.2,2023-05-27
3,3,3,3,3,3,3,3,3,3,3,30,627.5,2023-05-27
4,4,4,4,4,4,4,4,4,4,4,30,460.3,2023-05-27
5,5,5,5,5,5,5,5,5,5,5,30,662.1,2023-05-27
6,6,6,6,6,6,6,6,6,6,6,30,639.8,2023-05-27
7,7,7,7,7,7,7,7,7,7,7,30,557.9,2023-05-27
8,8,8,8,8,8,8,8,8,8,8,30,415.3,2023-05-27
9,9,9,9,9,9,9,9,9,9,9,29,396.4,2023-05-27
10,10,10,10,10,10,10,10,10,10,10,28,409.3,2023-05-27
11,11,11,11,11,11,11,11,11,11,11,27,368.6,2023-05-27
12,12,12,12,12,12,12,12,12,12,12,30,611.5,2023-05-27
13,13,13,13,13,13,13,13,13,13,13,30,617.7,2023-05-27
14,14,14,14,14,14,14,14,14,14,14,30,730.6,2023-05-27
15,15,15,15,15,15,15,15,15,15,15,30,472.7,2023-05-27
16,16,16,16,16,16,16,16,16,16,16,30,529.3,2023-05-27
17,17,17,17,17,17,17,17,17,17,17,30,478.0,2023-05-27
18,18,18,18,18,18,18,18,18,18,18,30,406.2,2023-05-27
19,19,19,19,19,19,19,19,19,19,19,29,364.5,2023-05-27
20,20,20,20,20,20,20,20,20,20,20,29,353.1,2023-05-27
21,21,21,21,21,21,21,21,21,21,21,30,515.2,2023-05-27
22,22,22,22,22,22,22,22,22,22,22,30,510.7,2023-05-27
23,23,23,23,23,23,23,23,23,23,23,30,518.0,2023-05-27
24,24,24,24,24,24,24,24,24,24,24,28,385.0,2023-05-27
25,25,25,25,25,25,25,25,25,25,25,30,668.7,2023-05-27
26,26,26,26,26,26,26,26,26,26,26,29,364.0,2023-05-27
27,27,27,27,27,27,27,27,27,27,27,30,621.2,2023-05-27
28,28,28,28,28,28,28,28,28,28,28,30,407.7,2023-05-27
29,29,29,29,29,29,29,29,29,29,29,28,349.0,2023-05-27
30,30,30,30,30,30,30,30,30,30,30,30,561.4,2023-05-27
31,31,31,31,31,31,31,31,31,31,31,25,299.7,2023-05-27
32,32,32,32,32,32,32,32,32,32,32,24,221.6,2023-05-27
33,33,33,33,33,33,33,33,33,33,33,30,575.5,2023-05-27
34,34,34,34,34,34,34,34,34,34,34,29,368.3,2023-05-27
35,35,35,35,35,35,35,35,35,35,35,27,403.1,2023-05-27
36,36,36,36,36,36,36,36,36,36,36,30,434.2,2023-05-27
37,37,37,37,37,37,37,37,37,37,37,29,345.3,2023-05-27
38,38,38,38,38,38,38,38,38,38,38,30,442.7,2023-05-27
39,39,39,39,39,39,39,39,39,39,39,25,227.0,2023-05-27
40,40,40,40,40,40,40,40,40,40,40,26,266.8,2023-05-27
41,41,41,41,41,41,41,41,41,41,41,29,373.4,2023-05-27
42,42,42,42,42,42,42,42,42,42,42,25,216.5,2023-05-27
43,43,43,43,43,43,43,43,43,43,43,30,420.6,2023-05-27
44,44,44,44,44,44,44,44,44,44,44,26,301.5,2023-05-27
45,45,45,45,45,45,45,45,45,45,45,27,306.1,2023-05-27
46,46,46,46,46,46,46,46,46,46,46,26,209.0,2023-05-27
47,47,47,47,47,47,47,47,47,47,47,29,353.7,2023-05-27
48,48,48,48,48,48,48,48,48,48,48,28,375.9,2023-05-27
49,49,49,49,49,49,49,49,49,49,49,26,264.5,2023-05-27
50,50,50,50,50,50,50,50,50,50,50,29,389.0,2023-05-27
51,51,51,51,51,51,51,51,51,51,51,27,253.3,2023-05-27
52,52,52,52,52,52,52,52,52,52,52,28,380.3,2023-05-27
53,53,53,53,53,53,53,53,53,53,53,26,323.3,2023-05-27
54,54,54,54,54,54,54,54,54,54,54,27,332.7,2023-05-27
55,55,55,55,55,55,55,55,55,55,55,29,339.7,2023-05-27
56,56,56,56,56,56,56,56,56,56,56,27,314.9,2023-05-27
57,57,57,57,57,57,57,57,57,57,57,28,352.0,2023-05-27
58,58,58,58,58,58,58,58,58,58,58,28,311.4,2023-05-27
59,59,59,59,59,59,59,59,59,59,59,22,77.5,2023-05-27
60,60,60,60,60,60,60,60,60,60,60,27,275.6,2023-05-27
61,61,61,61,61,61,61,61,61,61,61,30,489.0,2023-05-27
62,62,62,62,62,62,62,62,62,62,62,24,255.6,2023-05-27
63,63,63,63,63,63,63,63,63,63,63,30,387.9,2023-05-27
64,64,64,64,64,64,64,64,64,64,64,30,415.8,2023-05-27
65,65,65,65,65,65,65,65,65,65,65,29,353.0,2023-05-27
