level,power,date
30,645.6,2023-06-16
30,596.4,2023-06-16
30,579.3,2023-06-16
30,556.9,2023-06-16
30,518.4,2023-06-16
30,514.5,2023-06-16
30,499.8,2023-06-16
30,497.6,2023-06-16
30,485.2,2023-06-16
30,484.1,2023-06-16
30,471.5,2023-06-16
30,467.0,2023-06-16
30,460.4,2023-06-16
30,441.8,2023-06-16
30,434.2,2023-06-16
30,428.0,2023-06-16
30,418.4,2023-06-16
30,416.8,2023-06-16
30,405.9,2023-06-16
30,403.4,2023-06-16
29,402.3,2023-06-16
29,402.3,2023-06-16
29,400.1,2023-06-16
28,398.6,2023-06-16
29,388.4,2023-06-16
30,374.5,2023-06-16
27,373.2,2023-06-16
28,366.5,2023-06-16
29,365.3,2023-06-16
28,364.5,2023-06-16
29,363.5,2023-06-16
29,356.4,2023-06-16
29,355.9,2023-06-16
28,353.0,2023-06-16
29,351.8,2023-06-16
27,350.8,2023-06-16
29,340.4,2023-06-16
29,339.2,2023-06-16
27,336.1,2023-06-16
29,330.0,2023-06-16
29,329.5,2023-06-16
29,327.8,2023-06-16
28,326.6,2023-06-16
27,324.4,2023-06-16
27,308.9,2023-06-16
24,308.0,2023-06-16
27,301.7,2023-06-16
29,297.0,2023-06-16
26,282.9,2023-06-16
27,280.8,2023-06-16
23,276.3,2023-06-16
28,275.7,2023-06-16
26,271.0,2023-06-16
24,268.8,2023-06-16
28,263.6,2023-06-16
24,263.0,2023-06-16
24,261.1,2023-06-16
27,260.3,2023-06-16
27,246.7,2023-06-16
24,219.8,2023-06-16
25,191.1,2023-06-16
21,124.6,2023-06-16
