level,power,date
30,623.9,2023-07-05
29,376.9,2023-07-05
29,371.1,2023-07-05
29,361.0,2023-07-05
30,348.9,2023-07-05
28,328.2,2023-07-05
27,321.6,2023-07-05
28,317.6,2023-07-05
28,316.0,2023-07-05
28,311.5,2023-07-05
26,298.0,2023-07-05
26,295.6,2023-07-05
26,294.5,2023-07-05
24,289.7,2023-07-05
27,287.0,2023-07-05
24,286.8,2023-07-05
28,283.0,2023-07-05
25,282.9,2023-07-05
25,280.6,2023-07-05
26,273.2,2023-07-05
26,261.7,2023-07-05
26,246.6,2023-07-05
23,242.7,2023-07-05
23,239.9,2023-07-05
25,235.6,2023-07-05
25,227.8,2023-07-05
26,223.8,2023-07-05
25,169.0,2023-07-05
24,157.6,2023-07-05
22,155.9,2023-07-05
22,141.7,2023-07-05
24,137.2,2023-07-05
21,137.0,2023-07-05
22,130.6,2023-07-05
23,127.6,2023-07-05
21,114.6,2023-07-05
20,79.6,2023-07-05
18,71.4,2023-07-05
