level,power,date
29,498.5,2023-08-10
27,482.5,2023-08-10
29,425.1,2023-08-10
28,414.7,2023-08-10
29,410.5,2023-08-10
28,314.7,2023-08-10
26,302.1,2023-08-10
22,272.0,2023-08-10
26,260.7,2023-08-10
25,258.5,2023-08-10
26,226.6,2023-08-10
26,216.0,2023-08-10
24,166.1,2023-08-10
24,141.7,2023-08-10
21,140.5,2023-08-10
24,125.3,2023-08-10
21,124.3,2023-08-10
21,101.7,2023-08-10
23,92.7,2023-08-10
19,91.1,2023-08-10
17,83.6,2023-08-10
18,75.6,2023-08-10
21,73.6,2023-08-10
19,65.7,2023-08-10
20,62.3,2023-08-10
19,62.0,2023-08-10
20,57.2,2023-08-10
15,38.5,2023-08-10
14,32.2,2023-08-10
14,29.0,2023-08-10
15,25.7,2023-08-10
