level,power,date
30,505.2,2023-06-24
29,430.4,2023-06-24
29,382.5,2023-06-24
28,363.9,2023-06-24
30,360.4,2023-06-24
29,358.5,2023-06-24
29,355.5,2023-06-24
28,348.7,2023-06-24
29,347.1,2023-06-24
29,346.2,2023-06-24
28,340.0,2023-06-24
27,339.8,2023-06-24
28,339.0,2023-06-24
28,335.5,2023-06-24
26,310.2,2023-06-24
25,302.0,2023-06-24
27,298.4,2023-06-24
24,292.7,2023-06-24
28,288.3,2023-06-24
25,287.9,2023-06-24
26,284.7,2023-06-24
27,283.6,2023-06-24
26,273.6,2023-06-24
28,273.2,2023-06-24
26,266.8,2023-06-24
25,263.1,2023-06-24
27,261.1,2023-06-24
28,260.8,2023-06-24
29,255.8,2023-06-24
28,249.0,2023-06-24
26,244.3,2023-06-24
26,220.5,2023-06-24
24,218.7,2023-06-24
26,207.2,2023-06-24
24,204.8,2023-06-24
24,194.4,2023-06-24
21,128.1,2023-06-24
20,87.8,2023-06-24
