level,power,date
32,797.4,2023-09-20
32,749.1,2023-09-20
31,734.5,2023-09-20
32,725.7,2023-09-20
31,668.0,2023-09-20
32,632.7,2023-09-20
31,629.6,2023-09-20
31,622.6,2023-09-20
32,596.7,2023-09-20
31,585.3,2023-09-20
30,576.4,2023-09-20
31,572.0,2023-09-20
31,569.2,2023-09-20
31,569.1,2023-09-20
30,553.9,2023-09-20
30,549.2,2023-09-20
30,539.9,2023-09-20
30,538.9,2023-09-20
31,534.8,2023-09-20
30,533.7,2023-09-20
31,533.0,2023-09-20
28,526.7,2023-09-20
30,525.5,2023-09-20
30,520.6,2023-09-20
30,515.1,2023-09-20
30,511.6,2023-09-20
28,503.5,2023-09-20
31,502.9,2023-09-20
30,501.3,2023-09-20
30,496.4,2023-09-20
31,495.7,2023-09-20
30,495.0,2023-09-20
27,490.5,2023-09-20
30,479.9,2023-09-20
30,477.7,2023-09-20
30,475.0,2023-09-20
30,469.3,2023-09-20
30,459.9,2023-09-20
30,459.0,2023-09-20
30,457.8,2023-09-20
30,454.6,2023-09-20
30,451.9,2023-09-20
27,447.0,2023-09-20
30,441.9,2023-09-20
30,437.8,2023-09-20
30,437.6,2023-09-20
30,427.0,2023-09-20
27,422.5,2023-09-20
26,411.9,2023-09-20
27,411.4,2023-09-20
28,403.2,2023-09-20
30,399.8,2023-09-20
29,398.2,2023-09-20
29,392.4,2023-09-20
29,383.2,2023-09-20
30,372.0,2023-09-20
30,371.0,2023-09-20
29,359.6,2023-09-20
26,337.7,2023-09-20
26,327.2,2023-09-20
28,319.5,2023-09-20
26,306.7,2023-09-20
29,280.5,2023-09-20
29,279.7,2023-09-20
28,266.2,2023-09-20
27,266.0,2023-09-20
26,264.0,2023-09-20
26,244.2,2023-09-20
22,183.6,2023-09-20
25,162.5,2023-09-20
