level,power,date
30,406.0,2023-06-24
28,399.1,2023-06-24
27,396.0,2023-06-24
29,395.1,2023-06-24
29,395.1,2023-06-24
29,394.5,2023-06-24
29,386.9,2023-06-24
29,385.0,2023-06-24
29,382.2,2023-06-24
27,379.0,2023-06-24
28,368.2,2023-06-24
29,364.8,2023-06-24
26,361.7,2023-06-24
28,359.7,2023-06-24
29,351.5,2023-06-24
29,351.3,2023-06-24
28,348.1,2023-06-24
29,347.2,2023-06-24
29,344.5,2023-06-24
26,343.2,2023-06-24
26,338.0,2023-06-24
29,335.0,2023-06-24
29,334.6,2023-06-24
29,319.2,2023-06-24
28,318.1,2023-06-24
28,299.4,2023-06-24
28,298.9,2023-06-24
28,287.3,2023-06-24
24,284.0,2023-06-24
26,270.9,2023-06-24
26,258.4,2023-06-24
26,229.9,2023-06-24
27,229.4,2023-06-24
27,226.4,2023-06-24
26,202.5,2023-06-24
26,201.9,2023-06-24
23,180.7,2023-06-24
23,157.5,2023-06-24
23,134.4,2023-06-24
23,124.2,2023-06-24
21,70.5,2023-06-24
