level,power,date
28.0,357.9,2023-06-16
28.0,350.6,2023-06-16
27.0,349.6,2023-06-16
29.0,345.3,2023-06-16
27.0,336.2,2023-06-16
25.0,333.3,2023-06-16
29.0,323.5,2023-06-16
29.0,322.2,2023-06-16
27.0,319.1,2023-06-16
25.0,299.6,2023-06-16
24.0,286.8,2023-06-16
24.0,286.2,2023-06-16
27.0,284.3,2023-06-16
26.0,270.7,2023-06-16
23.0,267.4,2023-06-16
27.0,263.4,2023-06-16
24.0,263.2,2023-06-16
27.0,262.4,2023-06-16
28.0,257.9,2023-06-16
24.0,241.3,2023-06-16
24.0,239.1,2023-06-16
25.0,229.4,2023-06-16
26.0,226.2,2023-06-16
24.0,225.1,2023-06-16
24.0,210.6,2023-06-16
24.0,206.0,2023-06-16
23.0,199.7,2023-06-16
24.0,196.5,2023-06-16
23.0,196.3,2023-06-16
25.0,191.4,2023-06-16
28.0,185.5,2023-06-16
21.0,180.4,2023-06-16
25.0,180.0,2023-06-16
24.0,171.8,2023-06-16
24.0,167.1,2023-06-16
25.0,166.5,2023-06-16
25.0,158.0,2023-06-16
24.0,157.4,2023-06-16
25.0,149.5,2023-06-16
21.0,142.5,2023-06-16
24.0,142.4,2023-06-16
22.0,132.5,2023-06-16
24.0,125.6,2023-06-16
20.0,106.2,2023-06-16
21.0,98.8,2023-06-16
22.0,96.0,2023-06-16
21.0,82.2,2023-06-16
20.0,81.7,2023-06-16
19.0,66.1,2023-06-16
21.0,64.0,2023-06-16
18.0,57.5,2023-06-16
19.0,57.5,2023-06-16
19.0,53.6,2023-06-16
11.0,48.1,2023-06-16
18.0,44.0,2023-06-16
14.0,29.1,2023-06-16
12.0,20.2,2023-06-16
