level,power,date
31,744.3,2023-09-20
32,715.8,2023-09-20
31,649.7,2023-09-20
31,639.7,2023-09-20
31,630.8,2023-09-20
31,581.1,2023-09-20
30,570.7,2023-09-20
30,564.4,2023-09-20
30,548.8,2023-09-20
30,548.4,2023-09-20
31,536.1,2023-09-20
30,524.8,2023-09-20
30,516.3,2023-09-20
30,512.1,2023-09-20
30,509.1,2023-09-20
29,505.6,2023-09-20
30,500.0,2023-09-20
30,497.6,2023-09-20
30,497.0,2023-09-20
30,494.9,2023-09-20
29,481.7,2023-09-20
30,471.9,2023-09-20
30,458.3,2023-09-20
30,454.1,2023-09-20
30,453.0,2023-09-20
27,440.9,2023-09-20
28,436.2,2023-09-20
30,434.0,2023-09-20
30,433.0,2023-09-20
30,431.1,2023-09-20
30,430.5,2023-09-20
30,429.8,2023-09-20
30,428.3,2023-09-20
30,425.1,2023-09-20
30,403.1,2023-09-20
29,394.5,2023-09-20
30,393.4,2023-09-20
29,388.9,2023-09-20
28,386.8,2023-09-20
27,386.6,2023-09-20
30,361.3,2023-09-20
29,360.5,2023-09-20
29,342.9,2023-09-20
27,333.3,2023-09-20
28,315.3,2023-09-20
28,294.7,2023-09-20
28,292.6,2023-09-20
27,247.2,2023-09-20
28,239.4,2023-09-20
24,232.6,2023-09-20
27,223.8,2023-09-20
27,220.7,2023-09-20
25,195.4,2023-09-20
26,173.6,2023-09-20
