level,power,date
30,503.5,2023-06-16
30,492.8,2023-06-16
30,487.9,2023-06-16
30,483.8,2023-06-16
30,468.3,2023-06-16
30,450.7,2023-06-16
29,440.1,2023-06-16
30,431.9,2023-06-16
26,413.5,2023-06-16
29,411.8,2023-06-16
30,411.7,2023-06-16
29,397.3,2023-06-16
29,394.2,2023-06-16
29,388.6,2023-06-16
29,388.1,2023-06-16
28,388.0,2023-06-16
29,387.3,2023-06-16
29,385.9,2023-06-16
28,385.8,2023-06-16
29,380.4,2023-06-16
29,379.6,2023-06-16
29,365.8,2023-06-16
28,355.2,2023-06-16
28,335.7,2023-06-16
26,321.9,2023-06-16
28,315.6,2023-06-16
26,290.6,2023-06-16
27,289.2,2023-06-16
26,276.2,2023-06-16
27,271.8,2023-06-16
25,262.8,2023-06-16
26,258.1,2023-06-16
26,254.5,2023-06-16
28,243.5,2023-06-16
25,235.0,2023-06-16
27,228.9,2023-06-16
27,219.3,2023-06-16
23,184.2,2023-06-16
23,182.0,2023-06-16
25,180.3,2023-06-16
25,173.0,2023-06-16
24,134.4,2023-06-16
17,67.0,2023-06-16
17,47.0,2023-06-16
12,14.2,2023-06-16
