level,power,date
29,442.8,2023-06-10
28,440.4,2023-06-10
29,401.7,2023-06-10
28,399.4,2023-06-10
27,396.0,2023-06-10
29,393.7,2023-06-10
28,391.9,2023-06-10
28,383.3,2023-06-10
28,376.0,2023-06-10
29,375.5,2023-06-10
27,375.5,2023-06-10
29,370.1,2023-06-10
27,366.5,2023-06-10
28,363.1,2023-06-10
28,360.6,2023-06-10
27,351.5,2023-06-10
26,350.0,2023-06-10
27,347.5,2023-06-10
28,347.1,2023-06-10
26,345.4,2023-06-10
29,335.4,2023-06-10
25,334.0,2023-06-10
29,329.0,2023-06-10
26,328.7,2023-06-10
28,321.3,2023-06-10
25,313.7,2023-06-10
26,302.3,2023-06-10
26,287.0,2023-06-10
24,281.9,2023-06-10
27,276.0,2023-06-10
27,274.5,2023-06-10
27,274.3,2023-06-10
27,270.6,2023-06-10
25,266.1,2023-06-10
27,266.0,2023-06-10
26,262.3,2023-06-10
26,253.5,2023-06-10
24,253.4,2023-06-10
26,246.8,2023-06-10
25,237.9,2023-06-10
25,234.7,2023-06-10
26,220.0,2023-06-10
26,207.4,2023-06-10
22,191.6,2023-06-10
22,190.6,2023-06-10
26,171.8,2023-06-10
25,171.1,2023-06-10
24,160.4,2023-06-10
22,159.5,2023-06-10
22,149.4,2023-06-10
24,143.4,2023-06-10
