level,power,date
29,390.9,2023-08-10
30,369.4,2023-08-10
29,340.0,2023-08-10
29,326.8,2023-08-10
28,307.8,2023-08-10
27,299.8,2023-08-10
27,295.4,2023-08-10
25,291.3,2023-08-10
28,278.5,2023-08-10
27,277.1,2023-08-10
27,276.6,2023-08-10
25,263.4,2023-08-10
24,252.3,2023-08-10
25,222.5,2023-08-10
25,206.6,2023-08-10
25,203.5,2023-08-10
21,194.6,2023-08-10
24,179.0,2023-08-10
25,174.4,2023-08-10
23,161.2,2023-08-10
24,160.0,2023-08-10
23,149.0,2023-08-10
25,135.4,2023-08-10
22,123.1,2023-08-10
22,118.7,2023-08-10
21,115.2,2023-08-10
22,111.4,2023-08-10
21,107.0,2023-08-10
21,106.1,2023-08-10
21,104.8,2023-08-10
18,93.9,2023-08-10
22,83.8,2023-08-10
21,76.9,2023-08-10
19,74.2,2023-08-10
19,62.4,2023-08-10
20,50.0,2023-08-10
18,46.5,2023-08-10
17,40.9,2023-08-10
15,36.0,2023-08-10
15,35.4,2023-08-10
15,34.6,2023-08-10
11,29.6,2023-08-10
13,28.7,2023-08-10
13,26.5,2023-08-10
12,26.2,2023-08-10
12,25.3,2023-08-10
13,23.1,2023-08-10
12,17.1,2023-08-10
13,16.0,2023-08-10
10,10.4,2023-08-10
9,9.6,2023-08-10
