level,power,date
30,390.9,2023-06-16
28,384.7,2023-06-16
28,376.5,2023-06-16
30,364.9,2023-06-16
29,360.5,2023-06-16
28,359.3,2023-06-16
28,350.6,2023-06-16
29,346.8,2023-06-16
26,338.6,2023-06-16
27,338.4,2023-06-16
27,334.9,2023-06-16
27,332.7,2023-06-16
28,325.9,2023-06-16
27,319.2,2023-06-16
26,315.0,2023-06-16
25,309.3,2023-06-16
26,307.4,2023-06-16
25,291.5,2023-06-16
25,284.7,2023-06-16
28,277.8,2023-06-16
24,277.8,2023-06-16
27,276.8,2023-06-16
28,274.6,2023-06-16
27,274.0,2023-06-16
26,272.6,2023-06-16
26,269.4,2023-06-16
24,259.9,2023-06-16
26,258.1,2023-06-16
25,255.6,2023-06-16
27,254.3,2023-06-16
26,250.1,2023-06-16
27,250.1,2023-06-16
26,249.6,2023-06-16
27,245.0,2023-06-16
26,231.6,2023-06-16
24,229.8,2023-06-16
23,211.5,2023-06-16
24,203.8,2023-06-16
24,199.9,2023-06-16
24,198.9,2023-06-16
26,195.3,2023-06-16
24,191.3,2023-06-16
24,187.6,2023-06-16
25,186.8,2023-06-16
25,186.0,2023-06-16
22,175.7,2023-06-16
23,166.7,2023-06-16
21,162.8,2023-06-16
24,161.2,2023-06-16
21,155.5,2023-06-16
23,154.9,2023-06-16
22,127.4,2023-06-16
22,125.0,2023-06-16
20,113.2,2023-06-16
21,93.6,2023-06-16
15,35.3,2023-06-16
