level,power,date
30,521.3,2023-09-20
30,506.6,2023-09-20
31,506.4,2023-09-20
27,499.8,2023-09-20
29,462.2,2023-09-20
31,423.6,2023-09-20
29,414.5,2023-09-20
28,386.8,2023-09-20
29,386.0,2023-09-20
29,384.7,2023-09-20
30,371.8,2023-09-20
30,362.4,2023-09-20
26,332.4,2023-09-20
28,328.6,2023-09-20
29,322.2,2023-09-20
29,321.8,2023-09-20
27,309.7,2023-09-20
26,304.2,2023-09-20
27,290.3,2023-09-20
26,271.8,2023-09-20
25,262.0,2023-09-20
29,259.8,2023-09-20
27,245.4,2023-09-20
26,242.5,2023-09-20
27,241.2,2023-09-20
25,225.3,2023-09-20
27,221.8,2023-09-20
27,213.7,2023-09-20
25,209.9,2023-09-20
25,200.4,2023-09-20
23,184.7,2023-09-20
23,166.0,2023-09-20
23,164.7,2023-09-20
