level,power,date
30,1047.0,2023-06-16
30,744.3,2023-06-16
30,735.2,2023-06-16
30,726.1,2023-06-16
30,674.3,2023-06-16
30,567.4,2023-06-16
30,553.4,2023-06-16
30,537.9,2023-06-16
30,531.0,2023-06-16
30,519.1,2023-06-16
30,511.8,2023-06-16
30,492.7,2023-06-16
30,491.1,2023-06-16
30,489.7,2023-06-16
30,483.5,2023-06-16
30,479.4,2023-06-16
30,476.4,2023-06-16
30,461.5,2023-06-16
30,455.6,2023-06-16
30,455.2,2023-06-16
30,455.1,2023-06-16
30,452.0,2023-06-16
30,449.2,2023-06-16
29,440.1,2023-06-16
30,434.3,2023-06-16
30,433.3,2023-06-16
30,430.1,2023-06-16
28,426.6,2023-06-16
30,420.4,2023-06-16
29,419.0,2023-06-16
30,416.2,2023-06-16
29,413.7,2023-06-16
30,411.7,2023-06-16
30,410.8,2023-06-16
30,396.1,2023-06-16
30,387.0,2023-06-16
29,384.9,2023-06-16
30,382.0,2023-06-16
30,380.6,2023-06-16
29,376.6,2023-06-16
30,369.3,2023-06-16
25,365.5,2023-06-16
29,348.6,2023-06-16
28,347.8,2023-06-16
28,338.4,2023-06-16
30,334.9,2023-06-16
29,329.5,2023-06-16
29,328.1,2023-06-16
27,327.1,2023-06-16
28,326.5,2023-06-16
28,320.6,2023-06-16
28,318.9,2023-06-16
28,315.4,2023-06-16
28,315.2,2023-06-16
29,314.7,2023-06-16
28,313.7,2023-06-16
29,302.0,2023-06-16
28,298.8,2023-06-16
27,298.6,2023-06-16
25,287.0,2023-06-16
27,284.5,2023-06-16
27,278.7,2023-06-16
28,268.6,2023-06-16
27,218.2,2023-06-16
25,182.7,2023-06-16
