level,power,date
30.0,425.7,2023-06-10
30.0,411.0,2023-06-10
28.0,396.6,2023-06-10
30.0,388.4,2023-06-10
28.0,362.6,2023-06-10
29.0,344.8,2023-06-10
29.0,319.2,2023-06-10
29.0,313.9,2023-06-10
26.0,295.3,2023-06-10
27.0,289.3,2023-06-10
28.0,286.7,2023-06-10
27.0,271.2,2023-06-10
28.0,269.9,2023-06-10
27.0,266.7,2023-06-10
24.0,262.0,2023-06-10
25.0,258.7,2023-06-10
26.0,258.4,2023-06-10
25.0,258.3,2023-06-10
24.0,254.9,2023-06-10
25.0,246.4,2023-06-10
26.0,236.8,2023-06-10
26.0,230.4,2023-06-10
26.0,210.1,2023-06-10
24.0,197.9,2023-06-10
23.0,190.6,2023-06-10
22.0,187.8,2023-06-10
25.0,177.4,2023-06-10
26.0,171.5,2023-06-10
24.0,164.5,2023-06-10
24.0,159.9,2023-06-10
25.0,159.4,2023-06-10
23.0,154.7,2023-06-10
24.0,149.8,2023-06-10
24.0,146.6,2023-06-10
24.0,140.5,2023-06-10
22.0,137.2,2023-06-10
23.0,134.8,2023-06-10
23.0,132.8,2023-06-10
23.0,122.1,2023-06-10
21.0,119.9,2023-06-10
22.0,117.3,2023-06-10
19.0,103.9,2023-06-10
23.0,101.1,2023-06-10
21.0,95.8,2023-06-10
21.0,94.9,2023-06-10
21.0,94.9,2023-06-10
21.0,93.1,2023-06-10
18.0,90.5,2023-06-10
21.0,85.9,2023-06-10
22.0,82.3,2023-06-10
18.0,72.5,2023-06-10
20.0,70.1,2023-06-10
17.0,69.6,2023-06-10
21.0,67.5,2023-06-10
21.0,65.8,2023-06-10
17.0,61.2,2023-06-10
19.0,60.7,2023-06-10
18.0,59.9,2023-06-10
11.0,37.2,2023-06-10
19.0,37.1,2023-06-10
17.0,35.2,2023-06-10
11.0,31.6,2023-06-10
11.0,30.5,2023-06-10
14.0,24.1,2023-06-10
17.0,20.2,2023-06-10
12.0,16.5,2023-06-10
12.0,13.9,2023-06-10
