level,power,date
30,537.3,2023-06-24
30,511.4,2023-06-24
30,483.2,2023-06-24
30,462.9,2023-06-24
30,438.3,2023-06-24
29,412.0,2023-06-24
29,408.2,2023-06-24
29,400.1,2023-06-24
29,365.0,2023-06-24
29,362.2,2023-06-24
29,349.8,2023-06-24
28,334.5,2023-06-24
28,334.0,2023-06-24
27,325.2,2023-06-24
28,311.8,2023-06-24
28,308.2,2023-06-24
27,301.6,2023-06-24
25,301.5,2023-06-24
26,300.7,2023-06-24
27,290.6,2023-06-24
25,282.3,2023-06-24
27,281.9,2023-06-24
26,278.1,2023-06-24
27,275.1,2023-06-24
28,274.5,2023-06-24
27,274.5,2023-06-24
26,273.1,2023-06-24
27,272.0,2023-06-24
27,255.0,2023-06-24
24,251.7,2023-06-24
25,248.8,2023-06-24
25,241.4,2023-06-24
24,236.4,2023-06-24
26,225.3,2023-06-24
25,223.8,2023-06-24
25,220.0,2023-06-24
26,219.7,2023-06-24
23,213.9,2023-06-24
26,211.6,2023-06-24
26,211.1,2023-06-24
26,201.2,2023-06-24
22,200.9,2023-06-24
25,196.8,2023-06-24
24,192.7,2023-06-24
26,184.5,2023-06-24
25,178.6,2023-06-24
25,177.5,2023-06-24
22,174.9,2023-06-24
22,163.2,2023-06-24
22,148.3,2023-06-24
22,134.6,2023-06-24
23,134.4,2023-06-24
22,129.6,2023-06-24
21,123.6,2023-06-24
21,110.4,2023-06-24
21,91.7,2023-06-24
21,84.7,2023-06-24
15,38.2,2023-06-24
