level,power,date
27,391.1,2023-06-16
27,369.0,2023-06-16
26,324.8,2023-06-16
28,310.5,2023-06-16
26,285.5,2023-06-16
26,277.5,2023-06-16
24,256.6,2023-06-16
23,254.1,2023-06-16
27,232.5,2023-06-16
23,231.8,2023-06-16
22,193.3,2023-06-16
23,191.9,2023-06-16
25,185.8,2023-06-16
22,176.5,2023-06-16
21,157.8,2023-06-16
21,153.8,2023-06-16
21,128.2,2023-06-16
20,127.0,2023-06-16
22,125.8,2023-06-16
19,122.7,2023-06-16
21,104.3,2023-06-16
19,98.9,2023-06-16
21,90.2,2023-06-16
18,82.7,2023-06-16
18,82.1,2023-06-16
17,72.6,2023-06-16
19,71.3,2023-06-16
19,57.7,2023-06-16
17,56.0,2023-06-16
17,55.3,2023-06-16
17,54.9,2023-06-16
15,47.9,2023-06-16
16,45.8,2023-06-16
16,42.6,2023-06-16
16,42.0,2023-06-16
15,41.1,2023-06-16
15,39.4,2023-06-16
15,38.1,2023-06-16
14,38.0,2023-06-16
15,35.6,2023-06-16
15,33.8,2023-06-16
15,33.8,2023-06-16
14,29.3,2023-06-16
13,20.5,2023-06-16
19,20.3,2023-06-16
12,19.9,2023-06-16
10,19.2,2023-06-16
12,16.0,2023-06-16
7,4.5,2023-06-16
