level,power,date
30,695.5,2023-06-16
30,587.2,2023-06-16
30,577.5,2023-06-16
30,533.6,2023-06-16
30,474.3,2023-06-16
30,471.5,2023-06-16
30,469.3,2023-06-16
29,459.7,2023-06-16
30,454.2,2023-06-16
30,448.6,2023-06-16
30,446.2,2023-06-16
30,436.6,2023-06-16
30,428.5,2023-06-16
29,414.0,2023-06-16
30,409.6,2023-06-16
29,407.6,2023-06-16
28,403.4,2023-06-16
29,402.0,2023-06-16
29,390.0,2023-06-16
30,386.6,2023-06-16
29,379.2,2023-06-16
30,377.6,2023-06-16
28,366.3,2023-06-16
29,351.4,2023-06-16
28,350.2,2023-06-16
29,347.5,2023-06-16
28,345.1,2023-06-16
28,344.6,2023-06-16
28,344.5,2023-06-16
29,341.8,2023-06-16
28,341.7,2023-06-16
29,337.5,2023-06-16
29,332.8,2023-06-16
29,331.0,2023-06-16
27,319.9,2023-06-16
28,316.9,2023-06-16
30,314.4,2023-06-16
28,305.0,2023-06-16
27,300.1,2023-06-16
27,299.7,2023-06-16
24,278.4,2023-06-16
27,262.4,2023-06-16
28,260.1,2023-06-16
26,233.1,2023-06-16
27,222.8,2023-06-16
24,222.3,2023-06-16
27,205.5,2023-06-16
