level,power,date
25.0,292.9,2023-06-11
23.0,172.1,2023-06-11
25.0,160.7,2023-06-11
22.0,151.2,2023-06-11
23.0,150.1,2023-06-11
20.0,132.3,2023-06-11
23.0,117.9,2023-06-11
24.0,112.6,2023-06-11
22.0,108.3,2023-06-11
20.0,105.4,2023-06-11
22.0,92.7,2023-06-11
20.0,89.0,2023-06-11
21.0,85.9,2023-06-11
19.0,85.8,2023-06-11
20.0,85.4,2023-06-11
18.0,85.0,2023-06-11
19.0,77.8,2023-06-11
21.0,74.7,2023-06-11
18.0,74.4,2023-06-11
18.0,74.3,2023-06-11
15.0,60.9,2023-06-11
16.0,59.6,2023-06-11
17.0,52.4,2023-06-11
18.0,51.4,2023-06-11
14.0,49.0,2023-06-11
17.0,46.0,2023-06-11
14.0,36.2,2023-06-11
15.0,34.9,2023-06-11
14.0,34.6,2023-06-11
15.0,33.0,2023-06-11
11.0,29.0,2023-06-11
10.0,18.2,2023-06-11
10.0,12.1,2023-06-11
