level,power,date
30,611.1,2023-06-16
30,550.1,2023-06-16
30,522.4,2023-06-16
30,506.8,2023-06-16
30,494.4,2023-06-16
30,480.0,2023-06-16
30,445.7,2023-06-16
30,438.1,2023-06-16
30,431.8,2023-06-16
30,429.9,2023-06-16
30,417.7,2023-06-16
30,410.2,2023-06-16
30,397.8,2023-06-16
30,397.4,2023-06-16
29,390.3,2023-06-16
30,388.4,2023-06-16
30,386.1,2023-06-16
29,384.5,2023-06-16
29,377.7,2023-06-16
29,377.4,2023-06-16
30,360.6,2023-06-16
29,358.2,2023-06-16
26,356.6,2023-06-16
29,356.5,2023-06-16
29,353.6,2023-06-16
28,352.0,2023-06-16
29,351.0,2023-06-16
29,350.2,2023-06-16
27,349.4,2023-06-16
28,349.1,2023-06-16
28,347.4,2023-06-16
28,343.2,2023-06-16
29,341.0,2023-06-16
25,331.8,2023-06-16
30,328.5,2023-06-16
30,328.0,2023-06-16
29,327.5,2023-06-16
30,327.3,2023-06-16
27,320.5,2023-06-16
29,318.8,2023-06-16
25,317.2,2023-06-16
29,315.9,2023-06-16
26,313.0,2023-06-16
29,311.8,2023-06-16
28,295.2,2023-06-16
27,291.0,2023-06-16
27,285.9,2023-06-16
28,276.0,2023-06-16
26,273.4,2023-06-16
25,245.9,2023-06-16
23,238.5,2023-06-16
25,237.0,2023-06-16
26,233.0,2023-06-16
26,229.1,2023-06-16
27,227.6,2023-06-16
25,226.1,2023-06-16
25,222.0,2023-06-16
25,189.4,2023-06-16
24,146.7,2023-06-16
24,127.4,2023-06-16
