level,power,date
28,433.4,2023-09-20
28,378.1,2023-09-20
26,372.1,2023-09-20
28,325.6,2023-09-20
27,318.0,2023-09-20
27,314.9,2023-09-20
27,307.4,2023-09-20
26,306.2,2023-09-20
24,280.3,2023-09-20
27,278.3,2023-09-20
24,264.3,2023-09-20
23,251.3,2023-09-20
24,251.2,2023-09-20
25,243.3,2023-09-20
22,239.0,2023-09-20
24,234.4,2023-09-20
26,229.7,2023-09-20
21,222.3,2023-09-20
26,220.4,2023-09-20
23,213.9,2023-09-20
25,212.2,2023-09-20
23,208.2,2023-09-20
23,205.9,2023-09-20
24,202.0,2023-09-20
23,199.0,2023-09-20
23,196.9,2023-09-20
23,192.6,2023-09-20
24,179.3,2023-09-20
22,175.7,2023-09-20
23,172.2,2023-09-20
28,168.7,2023-09-20
23,164.7,2023-09-20
24,161.5,2023-09-20
22,155.3,2023-09-20
22,140.7,2023-09-20
22,127.8,2023-09-20
23,124.1,2023-09-20
23,122.1,2023-09-20
19,120.1,2023-09-20
19,119.5,2023-09-20
21,117.8,2023-09-20
24,108.4,2023-09-20
23,108.0,2023-09-20
21,105.7,2023-09-20
22,100.4,2023-09-20
23,97.3,2023-09-20
21,84.5,2023-09-20
18,74.8,2023-09-20
19,73.4,2023-09-20
18,64.0,2023-09-20
19,58.2,2023-09-20
21,51.0,2023-09-20
17,48.5,2023-09-20
20,44.9,2023-09-20
20,42.4,2023-09-20
15,41.9,2023-09-20
12,31.9,2023-09-20
14,30.1,2023-09-20
11,29.7,2023-09-20
13,23.6,2023-09-20
11,22.1,2023-09-20
11,20.1,2023-09-20
11,16.9,2023-09-20
7,13.7,2023-09-20
6,5.8,2023-09-20
7,4.0,2023-09-20
