level,power,date
30,570.4,2023-08-10
30,549.7,2023-08-10
30,536.8,2023-08-10
30,518.0,2023-08-10
30,488.4,2023-08-10
30,457.2,2023-08-10
30,456.2,2023-08-10
30,451.2,2023-08-10
30,438.6,2023-08-10
27,418.9,2023-08-10
30,413.3,2023-08-10
30,409.6,2023-08-10
29,407.1,2023-08-10
28,391.4,2023-08-10
29,390.7,2023-08-10
27,386.9,2023-08-10
28,379.7,2023-08-10
28,360.7,2023-08-10
29,354.5,2023-08-10
27,334.8,2023-08-10
27,313.2,2023-08-10
26,265.0,2023-08-10
26,254.2,2023-08-10
25,239.4,2023-08-10
27,237.8,2023-08-10
27,225.1,2023-08-10
24,202.9,2023-08-10
26,187.1,2023-08-10
23,185.6,2023-08-10
25,181.9,2023-08-10
25,173.7,2023-08-10
23,160.9,2023-08-10
25,152.0,2023-08-10
22,137.1,2023-08-10
23,136.8,2023-08-10
24,133.1,2023-08-10
17,52.7,2023-08-10
