level,power,date
31,563.5,2023-09-20
32,555.8,2023-09-20
31,548.0,2023-09-20
32,514.4,2023-09-20
31,507.0,2023-09-20
30,502.1,2023-09-20
30,501.8,2023-09-20
30,499.6,2023-09-20
31,493.8,2023-09-20
31,491.8,2023-09-20
30,489.7,2023-09-20
30,486.8,2023-09-20
30,485.3,2023-09-20
30,477.7,2023-09-20
30,476.0,2023-09-20
30,466.8,2023-09-20
30,462.0,2023-09-20
30,459.9,2023-09-20
30,455.8,2023-09-20
30,449.8,2023-09-20
30,448.4,2023-09-20
29,442.8,2023-09-20
30,439.4,2023-09-20
30,425.6,2023-09-20
29,421.6,2023-09-20
30,407.4,2023-09-20
30,401.8,2023-09-20
30,394.0,2023-09-20
30,393.9,2023-09-20
29,391.7,2023-09-20
29,384.6,2023-09-20
29,380.2,2023-09-20
30,379.5,2023-09-20
28,379.2,2023-09-20
30,375.7,2023-09-20
28,357.1,2023-09-20
30,350.7,2023-09-20
28,347.8,2023-09-20
29,341.4,2023-09-20
28,334.3,2023-09-20
30,334.1,2023-09-20
29,329.1,2023-09-20
30,324.6,2023-09-20
25,323.6,2023-09-20
29,323.5,2023-09-20
29,316.4,2023-09-20
28,315.3,2023-09-20
29,303.1,2023-09-20
26,276.6,2023-09-20
28,273.7,2023-09-20
29,273.5,2023-09-20
28,260.2,2023-09-20
28,248.4,2023-09-20
26,220.8,2023-09-20
26,178.0,2023-09-20
26,172.9,2023-09-20
24,113.9,2023-09-20
