level,power,date
30,497.7,2023-06-11
30,495.8,2023-06-11
30,432.3,2023-06-11
28,407.7,2023-06-11
29,374.9,2023-06-11
28,370.9,2023-06-11
29,366.0,2023-06-11
28,363.5,2023-06-11
28,360.8,2023-06-11
29,360.7,2023-06-11
28,360.4,2023-06-11
28,350.9,2023-06-11
28,349.7,2023-06-11
27,342.7,2023-06-11
29,342.4,2023-06-11
28,338.8,2023-06-11
29,338.6,2023-06-11
28,336.5,2023-06-11
27,325.9,2023-06-11
27,323.2,2023-06-11
28,319.5,2023-06-11
27,318.9,2023-06-11
28,315.6,2023-06-11
28,314.6,2023-06-11
27,314.1,2023-06-11
26,312.3,2023-06-11
28,309.9,2023-06-11
28,307.1,2023-06-11
27,305.6,2023-06-11
29,305.4,2023-06-11
28,304.0,2023-06-11
27,299.1,2023-06-11
27,293.1,2023-06-11
27,292.4,2023-06-11
28,286.8,2023-06-11
27,285.7,2023-06-11
28,284.5,2023-06-11
28,280.7,2023-06-11
25,274.2,2023-06-11
24,272.2,2023-06-11
27,271.7,2023-06-11
26,270.6,2023-06-11
27,268.0,2023-06-11
26,264.2,2023-06-11
24,248.6,2023-06-11
27,241.4,2023-06-11
28,238.7,2023-06-11
27,227.9,2023-06-11
28,223.9,2023-06-11
26,222.4,2023-06-11
25,220.7,2023-06-11
25,211.6,2023-06-11
22,204.9,2023-06-11
26,202.8,2023-06-11
23,200.9,2023-06-11
25,199.1,2023-06-11
25,193.3,2023-06-11
26,187.8,2023-06-11
24,179.9,2023-06-11
24,177.9,2023-06-11
25,174.5,2023-06-11
22,174.4,2023-06-11
26,173.7,2023-06-11
25,173.6,2023-06-11
24,164.1,2023-06-11
23,142.5,2023-06-11
25,141.7,2023-06-11
21,83.8,2023-06-11
