level,power,date
30,575.7,2023-06-16
30,551.0,2023-06-16
30,543.1,2023-06-16
30,488.5,2023-06-16
30,458.0,2023-06-16
30,456.7,2023-06-16
30,453.0,2023-06-16
30,440.8,2023-06-16
30,433.1,2023-06-16
29,429.2,2023-06-16
30,426.3,2023-06-16
30,416.6,2023-06-16
30,413.6,2023-06-16
29,408.6,2023-06-16
30,405.7,2023-06-16
27,403.7,2023-06-16
30,396.5,2023-06-16
28,394.9,2023-06-16
30,386.7,2023-06-16
29,376.4,2023-06-16
30,372.5,2023-06-16
30,369.8,2023-06-16
30,367.4,2023-06-16
27,364.9,2023-06-16
29,364.4,2023-06-16
29,358.7,2023-06-16
28,352.5,2023-06-16
29,350.4,2023-06-16
28,349.2,2023-06-16
28,348.1,2023-06-16
28,343.1,2023-06-16
28,342.6,2023-06-16
28,342.5,2023-06-16
29,342.1,2023-06-16
28,335.6,2023-06-16
29,329.6,2023-06-16
27,329.5,2023-06-16
27,328.8,2023-06-16
29,326.0,2023-06-16
29,322.9,2023-06-16
27,322.3,2023-06-16
28,321.8,2023-06-16
28,320.8,2023-06-16
28,311.3,2023-06-16
28,310.7,2023-06-16
29,307.6,2023-06-16
27,306.8,2023-06-16
27,305.7,2023-06-16
27,299.1,2023-06-16
27,296.7,2023-06-16
28,287.6,2023-06-16
26,284.4,2023-06-16
28,283.4,2023-06-16
28,274.1,2023-06-16
28,272.8,2023-06-16
27,265.8,2023-06-16
28,265.2,2023-06-16
27,253.2,2023-06-16
25,252.8,2023-06-16
23,239.8,2023-06-16
26,232.0,2023-06-16
26,223.5,2023-06-16
25,211.5,2023-06-16
25,193.9,2023-06-16
24,193.2,2023-06-16
24,191.3,2023-06-16
26,168.0,2023-06-16
18,65.7,2023-06-16
