level,power,date
30,515.6,2023-09-20
29,438.6,2023-09-20
29,421.4,2023-09-20
30,415.9,2023-09-20
29,410.4,2023-09-20
30,404.8,2023-09-20
29,389.2,2023-09-20
26,360.9,2023-09-20
24,346.3,2023-09-20
29,336.4,2023-09-20
29,322.8,2023-09-20
26,321.0,2023-09-20
29,313.6,2023-09-20
27,275.9,2023-09-20
26,257.6,2023-09-20
25,250.8,2023-09-20
25,250.3,2023-09-20
25,238.0,2023-09-20
23,232.3,2023-09-20
25,231.7,2023-09-20
25,231.6,2023-09-20
24,227.0,2023-09-20
23,224.3,2023-09-20
25,219.8,2023-09-20
27,218.9,2023-09-20
24,214.7,2023-09-20
26,201.7,2023-09-20
26,195.7,2023-09-20
23,149.6,2023-09-20
23,148.3,2023-09-20
22,147.0,2023-09-20
22,118.3,2023-09-20
22,103.1,2023-09-20
22,102.8,2023-09-20
22,101.8,2023-09-20
19,79.7,2023-09-20
17,45.2,2023-09-20
12,27.9,2023-09-20
14,27.4,2023-09-20
15,25.4,2023-09-20
11,18.6,2023-09-20
12,14.3,2023-09-20
11,13.4,2023-09-20
11,12.1,2023-09-20
11,11.8,2023-09-20
11,11.2,2023-09-20
11,11.0,2023-09-20
9,7.6,2023-09-20
