level,power,date
30,458.8,2023-09-20
28,422.2,2023-09-20
29,363.8,2023-09-20
27,350.2,2023-09-20
29,350.1,2023-09-20
28,312.6,2023-09-20
25,307.0,2023-09-20
26,271.4,2023-09-20
27,263.1,2023-09-20
25,258.9,2023-09-20
25,254.2,2023-09-20
27,252.0,2023-09-20
24,251.0,2023-09-20
27,243.0,2023-09-20
23,240.8,2023-09-20
26,240.5,2023-09-20
27,230.8,2023-09-20
26,228.1,2023-09-20
25,219.4,2023-09-20
25,198.4,2023-09-20
25,176.1,2023-09-20
25,173.3,2023-09-20
22,169.3,2023-09-20
25,157.4,2023-09-20
20,136.2,2023-09-20
22,120.3,2023-09-20
22,112.5,2023-09-20
22,110.6,2023-09-20
22,95.7,2023-09-20
18,93.5,2023-09-20
22,87.0,2023-09-20
22,83.6,2023-09-20
19,80.9,2023-09-20
21,80.1,2023-09-20
20,71.8,2023-09-20
18,68.8,2023-09-20
14,39.5,2023-09-20
12,37.9,2023-09-20
12,13.6,2023-09-20
11,12.1,2023-09-20
6,4.8,2023-09-20
