level,power,date
28,394.1,2023-07-05
28,384.8,2023-07-05
29,376.2,2023-07-05
28,374.2,2023-07-05
27,356.7,2023-07-05
28,342.9,2023-07-05
28,338.4,2023-07-05
28,330.8,2023-07-05
28,330.1,2023-07-05
28,329.5,2023-07-05
26,299.7,2023-07-05
27,297.2,2023-07-05
27,294.6,2023-07-05
25,290.8,2023-07-05
28,284.2,2023-07-05
27,282.4,2023-07-05
25,270.9,2023-07-05
27,263.3,2023-07-05
25,259.6,2023-07-05
25,256.1,2023-07-05
26,252.7,2023-07-05
25,241.5,2023-07-05
26,240.6,2023-07-05
27,238.1,2023-07-05
26,230.7,2023-07-05
27,229.0,2023-07-05
24,226.2,2023-07-05
27,218.1,2023-07-05
27,211.7,2023-07-05
24,210.2,2023-07-05
26,208.6,2023-07-05
26,207.9,2023-07-05
25,205.6,2023-07-05
22,201.7,2023-07-05
23,181.9,2023-07-05
24,178.4,2023-07-05
22,153.6,2023-07-05
24,130.8,2023-07-05
22,119.7,2023-07-05
20,112.6,2023-07-05
