level,power,date
21,85.6,2023-08-10
17,79.3,2023-08-10
18,71.9,2023-08-10
17,68.7,2023-08-10
20,68.6,2023-08-10
18,58.7,2023-08-10
17,54.0,2023-08-10
17,53.7,2023-08-10
17,48.1,2023-08-10
15,47.9,2023-08-10
14,46.7,2023-08-10
18,44.9,2023-08-10
16,43.4,2023-08-10
18,41.9,2023-08-10
14,41.7,2023-08-10
16,40.0,2023-08-10
16,39.3,2023-08-10
15,26.8,2023-08-10
13,23.9,2023-08-10
12,23.2,2023-08-10
13,19.1,2023-08-10
10,17.5,2023-08-10
13,17.4,2023-08-10
12,17.4,2023-08-10
11,15.3,2023-08-10
11,14.4,2023-08-10
10,14.4,2023-08-10
8,11.2,2023-08-10
7,11.0,2023-08-10
8,10.5,2023-08-10
7,9.4,2023-08-10
10,7.8,2023-08-10
