level,power,date
28,509.1,2023-09-20
28,492.1,2023-09-20
30,482.3,2023-09-20
29,431.2,2023-09-20
28,400.4,2023-09-20
27,398.7,2023-09-20
30,397.1,2023-09-20
28,392.3,2023-09-20
27,391.2,2023-09-20
25,364.7,2023-09-20
27,359.3,2023-09-20
27,348.1,2023-09-20
27,343.5,2023-09-20
29,339.7,2023-09-20
25,332.1,2023-09-20
25,329.9,2023-09-20
29,325.4,2023-09-20
26,321.4,2023-09-20
26,320.1,2023-09-20
26,312.5,2023-09-20
25,303.7,2023-09-20
26,297.9,2023-09-20
25,292.7,2023-09-20
26,283.9,2023-09-20
26,280.6,2023-09-20
26,277.7,2023-09-20
24,276.4,2023-09-20
25,275.8,2023-09-20
25,262.6,2023-09-20
24,257.9,2023-09-20
26,250.3,2023-09-20
23,244.6,2023-09-20
28,241.9,2023-09-20
27,236.4,2023-09-20
25,232.6,2023-09-20
27,219.1,2023-09-20
24,207.0,2023-09-20
24,195.3,2023-09-20
24,190.5,2023-09-20
23,188.7,2023-09-20
25,186.1,2023-09-20
23,133.8,2023-09-20
17,108.6,2023-09-20
21,93.5,2023-09-20
19,66.9,2023-09-20
