level,power,date
27.0,331.6,2023-06-24
29.0,301.7,2023-06-24
27.0,300.6,2023-06-24
26.0,293.3,2023-06-24
26.0,292.0,2023-06-24
27.0,281.2,2023-06-24
24.0,265.1,2023-06-24
23.0,264.2,2023-06-24
26.0,263.9,2023-06-24
27.0,257.2,2023-06-24
25.0,252.6,2023-06-24
25.0,246.4,2023-06-24
26.0,246.2,2023-06-24
23.0,245.8,2023-06-24
23.0,232.4,2023-06-24
24.0,226.3,2023-06-24
25.0,224.3,2023-06-24
24.0,220.8,2023-06-24
24.0,220.3,2023-06-24
22.0,206.4,2023-06-24
23.0,205.1,2023-06-24
23.0,195.6,2023-06-24
23.0,195.0,2023-06-24
24.0,189.4,2023-06-24
22.0,180.5,2023-06-24
24.0,174.6,2023-06-24
21.0,166.1,2023-06-24
22.0,154.6,2023-06-24
22.0,147.9,2023-06-24
21.0,145.0,2023-06-24
22.0,137.9,2023-06-24
20.0,134.6,2023-06-24
19.0,130.7,2023-06-24
20.0,119.4,2023-06-24
22.0,118.0,2023-06-24
20.0,115.6,2023-06-24
22.0,110.2,2023-06-24
21.0,104.5,2023-06-24
20.0,86.7,2023-06-24
22.0,86.6,2023-06-24
19.0,85.0,2023-06-24
20.0,84.9,2023-06-24
21.0,84.0,2023-06-24
19.0,82.4,2023-06-24
19.0,82.0,2023-06-24
21.0,811.7,2023-06-24
20.0,79.1,2023-06-24
20.0,75.7,2023-06-24
17.0,74.3,2023-06-24
17.0,67.5,2023-06-24
17.0,63.4,2023-06-24
20.0,60.6,2023-06-24
19.0,53.7,2023-06-24
17.0,51.5,2023-06-24
19.0,51.2,2023-06-24
14.0,36.8,2023-06-24
18.0,33.3,2023-06-24
15.0,30.5,2023-06-24
15.0,29.8,2023-06-24
12.0,29.4,2023-06-24
12.0,25.6,2023-06-24
14.0,25.3,2023-06-24
13.0,24.7,2023-06-24
12.0,21.1,2023-06-24
11.0,20.0,2023-06-24
10.0,18.7,2023-06-24
