level,power,date
21.0,155.5,2023-07-05
18.0,103.4,2023-07-05
18.0,103.2,2023-07-05
19.0,70.1,2023-07-05
20.0,67.1,2023-07-05
19.0,65.8,2023-07-05
16.0,55.8,2023-07-05
18.0,53.7,2023-07-05
16.0,46.4,2023-07-05
16.0,43.7,2023-07-05
17.0,42.3,2023-07-05
15.0,41.3,2023-07-05
16.0,36.8,2023-07-05
14.0,35.9,2023-07-05
16.0,35.2,2023-07-05
15.0,34.7,2023-07-05
13.0,29.7,2023-07-05
12.0,28.4,2023-07-05
11.0,28.2,2023-07-05
11.0,27.7,2023-07-05
12.0,27.4,2023-07-05
11.0,27.2,2023-07-05
12.0,26.0,2023-07-05
13.0,21.7,2023-07-05
12.0,20.8,2023-07-05
10.0,11.4,2023-07-05
11.0,11.1,2023-07-05
10.0,9.0,2023-07-05
8.0,8.6,2023-07-05
8.0,7.8,2023-07-05
