level,power,date
30,482.6,2023-07-05
30,445.4,2023-07-05
29,409.4,2023-07-05
29,362.9,2023-07-05
28,345.6,2023-07-05
28,334.3,2023-07-05
27,322.0,2023-07-05
27,321.4,2023-07-05
27,315.5,2023-07-05
26,296.7,2023-07-05
27,295.9,2023-07-05
25,294.4,2023-07-05
27,287.0,2023-07-05
28,284.7,2023-07-05
26,284.7,2023-07-05
26,282.2,2023-07-05
23,282.0,2023-07-05
27,280.7,2023-07-05
27,277.5,2023-07-05
27,271.0,2023-07-05
28,266.2,2023-07-05
27,264.3,2023-07-05
24,263.2,2023-07-05
28,252.9,2023-07-05
22,248.0,2023-07-05
27,246.2,2023-07-05
23,241.4,2023-07-05
24,240.8,2023-07-05
24,236.7,2023-07-05
22,236.1,2023-07-05
28,234.7,2023-07-05
25,234.3,2023-07-05
26,232.7,2023-07-05
25,232.4,2023-07-05
24,226.7,2023-07-05
24,223.5,2023-07-05
26,219.4,2023-07-05
26,211.3,2023-07-05
23,209.3,2023-07-05
26,204.5,2023-07-05
25,204.0,2023-07-05
22,202.6,2023-07-05
24,201.6,2023-07-05
23,196.2,2023-07-05
23,189.5,2023-07-05
26,187.2,2023-07-05
24,186.4,2023-07-05
23,185.9,2023-07-05
24,181.4,2023-07-05
22,179.7,2023-07-05
24,178.9,2023-07-05
24,173.7,2023-07-05
22,173.2,2023-07-05
24,168.6,2023-07-05
21,165.4,2023-07-05
24,163.5,2023-07-05
24,160.8,2023-07-05
23,160.6,2023-07-05
22,151.3,2023-07-05
23,150.3,2023-07-05
22,147.6,2023-07-05
25,145.2,2023-07-05
24,126.1,2023-07-05
25,125.3,2023-07-05
19,110.8,2023-07-05
22,106.2,2023-07-05
24,105.2,2023-07-05
