level,power,date
21.0,186.9,2023-06-11
24.0,172.3,2023-06-11
22.0,165.6,2023-06-11
22.0,118.9,2023-06-11
20.0,84.7,2023-06-11
19.0,76.1,2023-06-11
18.0,54.2,2023-06-11
14.0,52.1,2023-06-11
17.0,51.7,2023-06-11
17.0,51.5,2023-06-11
20.0,48.5,2023-06-11
15.0,47.5,2023-06-11
20.0,47.2,2023-06-11
17.0,45.3,2023-06-11
14.0,42.5,2023-06-11
17.0,41.3,2023-06-11
17.0,41.3,2023-06-11
17.0,41.0,2023-06-11
14.0,41.0,2023-06-11
17.0,40.8,2023-06-11
14.0,35.3,2023-06-11
14.0,34.2,2023-06-11
13.0,32.2,2023-06-11
13.0,30.1,2023-06-11
13.0,29.8,2023-06-11
16.0,28.1,2023-06-11
12.0,27.8,2023-06-11
13.0,27.0,2023-06-11
12.0,26.7,2023-06-11
15.0,26.1,2023-06-11
13.0,25.2,2023-06-11
13.0,23.1,2023-06-11
17.0,23.0,2023-06-11
11.0,23.0,2023-06-11
12.0,21.7,2023-06-11
12.0,21.1,2023-06-11
12.0,19.9,2023-06-11
12.0,19.1,2023-06-11
11.0,18.3,2023-06-11
11.0,17.8,2023-06-11
12.0,17.3,2023-06-11
