level,power,date
28,361.1,2023-07-05
29,345.3,2023-07-05
29,343.8,2023-07-05
29,334.5,2023-07-05
26,328.7,2023-07-05
28,318.5,2023-07-05
26,301.9,2023-07-05
29,299.1,2023-07-05
27,292.2,2023-07-05
29,291.9,2023-07-05
26,288.0,2023-07-05
29,282.6,2023-07-05
28,279.2,2023-07-05
25,270.5,2023-07-05
29,270.4,2023-07-05
24,267.4,2023-07-05
28,266.7,2023-07-05
27,259.2,2023-07-05
26,255.6,2023-07-05
24,251.7,2023-07-05
28,250.5,2023-07-05
26,247.7,2023-07-05
23,237.4,2023-07-05
25,226.3,2023-07-05
26,205.8,2023-07-05
26,201.0,2023-07-05
26,195.1,2023-07-05
23,183.9,2023-07-05
25,182.4,2023-07-05
24,180.6,2023-07-05
23,176.9,2023-07-05
25,170.5,2023-07-05
23,169.5,2023-07-05
22,169.0,2023-07-05
24,160.7,2023-07-05
24,156.1,2023-07-05
20,154.9,2023-07-05
25,147.1,2023-07-05
21,127.2,2023-07-05
20,123.7,2023-07-05
22,118.3,2023-07-05
22,111.4,2023-07-05
21,110.4,2023-07-05
21,103.1,2023-07-05
22,101.6,2023-07-05
22,101.6,2023-07-05
21,97.2,2023-07-05
22,94.9,2023-07-05
20,85.1,2023-07-05
19,81.5,2023-07-05
20,81.3,2023-07-05
20,70.4,2023-07-05
20,62.6,2023-07-05
15,57.9,2023-07-05
18,57.2,2023-07-05
18,56.3,2023-07-05
15,51.9,2023-07-05
18,51.8,2023-07-05
18,46.8,2023-07-05
15,43.1,2023-07-05
15,32.3,2023-07-05
12,21.0,2023-07-05
12,20.6,2023-07-05
11,10.1,2023-07-05
6,3.0,2023-07-05
