level,power,date
30,398.8,2023-06-16
30,365.4,2023-06-16
29,349.2,2023-06-16
28,345.8,2023-06-16
27,334.0,2023-06-16
27,321.1,2023-06-16
27,307.7,2023-06-16
27,306.9,2023-06-16
27,305.0,2023-06-16
27,296.3,2023-06-16
29,292.9,2023-06-16
27,287.5,2023-06-16
26,285.1,2023-06-16
27,284.9,2023-06-16
28,278.6,2023-06-16
26,275.6,2023-06-16
27,274.6,2023-06-16
25,270.5,2023-06-16
25,266.8,2023-06-16
25,266.7,2023-06-16
26,265.0,2023-06-16
25,264.9,2023-06-16
27,263.4,2023-06-16
25,260.7,2023-06-16
25,259.7,2023-06-16
23,257.1,2023-06-16
25,245.6,2023-06-16
24,243.9,2023-06-16
24,236.6,2023-06-16
26,231.9,2023-06-16
24,230.9,2023-06-16
25,227.6,2023-06-16
27,226.2,2023-06-16
27,224.8,2023-06-16
24,224.4,2023-06-16
27,222.5,2023-06-16
23,214.9,2023-06-16
23,211.3,2023-06-16
24,209.6,2023-06-16
25,209.3,2023-06-16
25,207.6,2023-06-16
22,206.2,2023-06-16
26,205.5,2023-06-16
26,202.4,2023-06-16
25,198.9,2023-06-16
22,195.5,2023-06-16
22,193.4,2023-06-16
24,188.4,2023-06-16
22,180.4,2023-06-16
22,179.7,2023-06-16
25,174.6,2023-06-16
22,173.6,2023-06-16
23,166.9,2023-06-16
24,149.3,2023-06-16
25,145.9,2023-06-16
25,143.0,2023-06-16
24,130.9,2023-06-16
20,118.6,2023-06-16
22,108.9,2023-06-16
22,88.5,2023-06-16
20,82.5,2023-06-16
