level,power,date
24,250.7,2023-09-20
20,113.4,2023-09-20
19,110.3,2023-09-20
21,109.1,2023-09-20
21,104.2,2023-09-20
20,103.7,2023-09-20
22,102.2,2023-09-20
17,81.0,2023-09-20
20,77.3,2023-09-20
17,76.9,2023-09-20
18,67.6,2023-09-20
18,67.3,2023-09-20
18,48.7,2023-09-20
17,42.1,2023-09-20
16,42.0,2023-09-20
18,41.2,2023-09-20
16,40.7,2023-09-20
14,40.7,2023-09-20
15,40.4,2023-09-20
14,31.0,2023-09-20
14,30.5,2023-09-20
11,29.8,2023-09-20
15,29.4,2023-09-20
14,28.8,2023-09-20
13,27.8,2023-09-20
11,27.5,2023-09-20
11,26.4,2023-09-20
13,23.2,2023-09-20
14,23.2,2023-09-20
12,22.8,2023-09-20
12,20.8,2023-09-20
18,19.6,2023-09-20
17,17.7,2023-09-20
11,15.7,2023-09-20
7,8.2,2023-09-20
7,6.9,2023-09-20
8,5.1,2023-09-20
