level,power,date
28,395.4,2023-06-16
29,372.3,2023-06-16
29,372.2,2023-06-16
29,366.3,2023-06-16
28,353.2,2023-06-16
29,350.3,2023-06-16
28,342.8,2023-06-16
27,337.9,2023-06-16
27,330.4,2023-06-16
28,325.6,2023-06-16
29,323.9,2023-06-16
27,323.6,2023-06-16
27,323.2,2023-06-16
29,320.0,2023-06-16
27,311.2,2023-06-16
27,310.0,2023-06-16
28,308.6,2023-06-16
28,306.3,2023-06-16
27,303.5,2023-06-16
28,298.5,2023-06-16
26,289.2,2023-06-16
27,282.7,2023-06-16
28,276.0,2023-06-16
28,271.7,2023-06-16
28,268.3,2023-06-16
27,264.2,2023-06-16
26,260.8,2023-06-16
26,260.2,2023-06-16
25,258.9,2023-06-16
26,256.7,2023-06-16
28,256.6,2023-06-16
24,252.5,2023-06-16
27,249.3,2023-06-16
26,248.9,2023-06-16
25,246.9,2023-06-16
27,246.5,2023-06-16
26,241.3,2023-06-16
28,239.4,2023-06-16
25,231.2,2023-06-16
26,230.1,2023-06-16
26,226.2,2023-06-16
25,225.9,2023-06-16
26,223.3,2023-06-16
26,221.6,2023-06-16
26,212.0,2023-06-16
26,207.0,2023-06-16
24,201.0,2023-06-16
26,197.7,2023-06-16
24,194.9,2023-06-16
26,181.9,2023-06-16
22,168.3,2023-06-16
24,167.6,2023-06-16
22,166.5,2023-06-16
23,162.1,2023-06-16
22,161.2,2023-06-16
24,152.3,2023-06-16
23,139.8,2023-06-16
21,118.6,2023-06-16
23,117.5,2023-06-16
20,117.1,2023-06-16
22,106.3,2023-06-16
22,98.8,2023-06-16
21,83.9,2023-06-16
17,50.6,2023-06-16
