level,power,date
28,351.5,2023-06-16
27,333.4,2023-06-16
26,332.0,2023-06-16
27,314.2,2023-06-16
28,311.1,2023-06-16
27,301.2,2023-06-16
24,298.7,2023-06-16
25,297.6,2023-06-16
27,297.5,2023-06-16
27,294.0,2023-06-16
28,293.6,2023-06-16
27,290.9,2023-06-16
24,289.0,2023-06-16
27,287.4,2023-06-16
27,285.9,2023-06-16
25,285.7,2023-06-16
27,280.9,2023-06-16
26,277.7,2023-06-16
26,270.8,2023-06-16
25,270.1,2023-06-16
26,265.6,2023-06-16
24,264.8,2023-06-16
25,264.5,2023-06-16
26,259.4,2023-06-16
25,258.1,2023-06-16
23,257.7,2023-06-16
25,256.1,2023-06-16
24,256.0,2023-06-16
25,254.2,2023-06-16
27,251.6,2023-06-16
27,249.4,2023-06-16
25,246.6,2023-06-16
23,241.6,2023-06-16
26,231.5,2023-06-16
24,228.8,2023-06-16
25,225.9,2023-06-16
23,222.4,2023-06-16
25,221.4,2023-06-16
24,220.1,2023-06-16
25,219.2,2023-06-16
24,219.0,2023-06-16
27,209.4,2023-06-16
25,208.5,2023-06-16
24,206.6,2023-06-16
25,203.1,2023-06-16
21,197.5,2023-06-16
22,183.5,2023-06-16
21,178.2,2023-06-16
22,175.7,2023-06-16
25,172.6,2023-06-16
23,171.7,2023-06-16
23,169.0,2023-06-16
25,168.0,2023-06-16
23,167.9,2023-06-16
22,166.5,2023-06-16
26,165.7,2023-06-16
23,162.2,2023-06-16
22,154.2,2023-06-16
22,146.8,2023-06-16
22,143.3,2023-06-16
24,140.3,2023-06-16
25,137.0,2023-06-16
20,118.4,2023-06-16
23,105.4,2023-06-16
21,103.4,2023-06-16
19,100.8,2023-06-16
23,92.4,2023-06-16
21,80.9,2023-06-16
17,74.3,2023-06-16
19,62.1,2023-06-16
