level,power,date
30,605.1,2023-08-10
30,596.2,2023-08-10
30,555.2,2023-08-10
30,518.4,2023-08-10
30,495.4,2023-08-10
30,491.2,2023-08-10
29,478.0,2023-08-10
30,461.6,2023-08-10
30,450.1,2023-08-10
30,448.5,2023-08-10
30,445.4,2023-08-10
30,443.6,2023-08-10
30,439.7,2023-08-10
29,434.4,2023-08-10
30,419.7,2023-08-10
29,416.8,2023-08-10
29,402.8,2023-08-10
30,391.1,2023-08-10
30,388.3,2023-08-10
29,386.9,2023-08-10
26,371.5,2023-08-10
29,369.2,2023-08-10
29,358.5,2023-08-10
28,356.2,2023-08-10
26,353.6,2023-08-10
28,352.6,2023-08-10
30,352.3,2023-08-10
30,350.0,2023-08-10
30,349.4,2023-08-10
29,343.5,2023-08-10
27,336.3,2023-08-10
29,336.0,2023-08-10
28,335.1,2023-08-10
29,332.5,2023-08-10
27,308.9,2023-08-10
26,307.2,2023-08-10
29,304.7,2023-08-10
26,296.4,2023-08-10
27,288.1,2023-08-10
28,286.2,2023-08-10
26,284.0,2023-08-10
24,240.7,2023-08-10
25,202.5,2023-08-10
23,199.0,2023-08-10
25,193.9,2023-08-10
26,192.5,2023-08-10
25,152.0,2023-08-10
21,89.4,2023-08-10
19,87.6,2023-08-10
18,65.8,2023-08-10
