level,power,date
27,314.4,2023-06-11
27,307.7,2023-06-11
27,303.2,2023-06-11
25,299.7,2023-06-11
25,286.4,2023-06-11
27,268.4,2023-06-11
25,267.7,2023-06-11
26,266.9,2023-06-11
24,266.5,2023-06-11
24,249.4,2023-06-11
23,246.7,2023-06-11
27,246.1,2023-06-11
25,245.7,2023-06-11
25,240.6,2023-06-11
27,240.3,2023-06-11
27,238.2,2023-06-11
26,236.0,2023-06-11
23,233.2,2023-06-11
23,231.7,2023-06-11
25,229.8,2023-06-11
26,228.0,2023-06-11
26,224.9,2023-06-11
25,223.2,2023-06-11
28,221.7,2023-06-11
23,220.4,2023-06-11
24,216.8,2023-06-11
22,210.5,2023-06-11
24,209.0,2023-06-11
24,203.6,2023-06-11
26,203.3,2023-06-11
24,202.1,2023-06-11
24,197.0,2023-06-11
22,183.0,2023-06-11
25,181.7,2023-06-11
21,180.2,2023-06-11
25,175.7,2023-06-11
26,175.3,2023-06-11
24,173.2,2023-06-11
23,168.8,2023-06-11
26,165.1,2023-06-11
24,161.6,2023-06-11
23,159.8,2023-06-11
23,155.1,2023-06-11
22,150.2,2023-06-11
25,148.1,2023-06-11
23,140.5,2023-06-11
21,139.9,2023-06-11
23,120.3,2023-06-11
22,99.4,2023-06-11
21,99.1,2023-06-11
22,97.1,2023-06-11
